Player,Tm,FGA
Alex English*,DEN,1881
Michael Jordan*,CHI,1795
Dominique Wilkins*,ATL,1756
Dale Ellis,SEA,1710
Clyde Drexler*,POR,1672
Tom Chambers,PHO,1643
Chris Mullin*,GSW,1630
Terry Cummings,MIL,1563
Karl Malone*,UTA,1559
Hakeem Olajuwon*,HOU,1556
Chuck Person,IND,1453
Jeff Malone,WSB,1410
Mitch Richmond*,GSW,1386
Xavier McDaniel,SEA,1385
Bernard King*,WSB,1371
Willie Anderson,SAS,1285
James Worthy*,LAL,1282
Patrick Ewing*,NYK,1282
Thurl Bailey,UTA,1272
Ken Norman,LAC,1271
