Player,Tm,FGA
Mike Mitchell,CLE,1791
George Gervin*,SAS,1729
Adrian Dantley*,UTA,1627
Alex English*,DEN,1555
Moses Malone*,HOU,1545
Darrell Griffith,UTA,1544
Julius Erving*,PHI,1524
Larry Bird*,BOS,1503
Jamaal Wilkes*,LAL,1495
Kareem Abdul-Jabbar*,LAL,1457
David Thompson*,DEN,1451
Scott Wedman,KCK,1437
Freeman Williams,SDC,1381
Ray Williams,NYK,1335
Jack Sikma*,SEA,1311
Otis Birdsong,KCK,1306
Elvin Hayes*,WSB,1296
Truck Robinson,PHO,1280
Mike Newlin,NJN,1272
Joe Barry Carroll,GSW,1254
