Player,Tm,WS
Michael Jordan*,CHI,21.2
Charles Barkley*,PHI,16.7
Larry Bird*,BOS,15.0
John Stockton*,UTA,14.1
Clyde Drexler*,POR,13.2
Magic Johnson*,LAL,10.9
Hakeem Olajuwon*,HOU,10.7
Byron Scott,LAL,10.7
Fat Lever,DEN,10.4
Kevin McHale*,BOS,10.2
Karl Malone*,UTA,10.1
Terry Porter,POR,9.8
Dominique Wilkins*,ATL,9.8
Adrian Dantley*,DET,9.4
Jack Sikma*,MIL,9.4
Moses Malone*,WSB,9.2
Derek Harper,DAL,9.1
Dale Ellis,SEA,9.0
Danny Schayes,DEN,8.8
Mark Aguirre,DAL,8.8
