Player,Tm,WS
Adrian Dantley*,UTA,14.6
Larry Bird*,BOS,13.6
Sidney Moncrief*,MIL,12.7
Bernard King*,NYK,12.1
Bill Laimbeer,DET,10.8
Robert Parish*,BOS,10.5
Kevin McHale*,BOS,10.5
Kiki Vandeweghe,DEN,10.3
Magic Johnson*,LAL,10.2
Julius Erving*,PHI,10.1
Rolando Blackman,DAL,9.8
Bill Cartwright,NYK,9.8
Larry Nance,PHO,9.8
Jack Sikma*,SEA,9.7
Moses Malone*,PHI,9.5
Jim Paxson,POR,9.5
Jeff Ruland,WSB,9.3
Isiah Thomas*,DET,9.1
Mark Aguirre,DAL,9.0
Kareem Abdul-Jabbar*,LAL,8.9
