Player,Tm,WS
Larry Bird*,BOS,15.7
Michael Jordan*,CHI,14.0
Magic Johnson*,LAL,12.7
Moses Malone*,PHI,11.9
Kareem Abdul-Jabbar*,LAL,11.2
Isiah Thomas*,DET,11.2
Sidney Moncrief*,MIL,11.2
Kevin McHale*,BOS,11.0
Terry Cummings,MIL,10.7
Artis Gilmore*,SAS,10.5
Hakeem Olajuwon*,HOU,10.2
Calvin Natt,DEN,10.2
Bill Laimbeer,DET,9.8
Paul Pressey,MIL,9.6
Orlando Woolridge,CHI,9.0
Robert Parish*,BOS,9.0
Maurice Cheeks*,PHI,9.0
Alex English*,DEN,8.9
Micheal Ray Richardson,NJN,8.7
Rodney McCray,HOU,8.5
