Player,Tm,WS
Michael Jordan*,CHI,16.9
Magic Johnson*,LAL,15.9
Larry Bird*,BOS,15.2
Kevin McHale*,BOS,14.8
Dominique Wilkins*,ATL,12.2
Charles Barkley*,PHI,12.0
Hakeem Olajuwon*,HOU,10.9
Kiki Vandeweghe,POR,10.8
Bill Laimbeer,DET,10.5
James Donaldson,DAL,10.4
Adrian Dantley*,DET,10.3
Doc Rivers,ATL,10.3
Clyde Drexler*,POR,10.3
Larry Nance,PHO,10.2
Sleepy Floyd,GSW,10.0
Fat Lever,DEN,9.7
Ricky Pierce,MIL,9.4
Derek Harper,DAL,9.4
Rodney McCray,HOU,9.4
Moses Malone*,WSB,9.4
