Player,Tm,WS
Moses Malone*,HOU,15.4
Sidney Moncrief*,MIL,13.4
Julius Erving*,PHI,13.3
Magic Johnson*,LAL,12.9
Adrian Dantley*,UTA,12.6
Jack Sikma*,SEA,12.6
Larry Bird*,BOS,12.5
Artis Gilmore*,CHI,12.1
George Gervin*,SAS,10.7
Kareem Abdul-Jabbar*,LAL,10.7
Gus Williams,SEA,10.2
Robert Parish*,BOS,10.0
Dan Issel*,DEN,9.8
Alex English*,DEN,9.5
Greg Ballard,WSB,9.4
Calvin Natt,POR,9.3
Kyle Macy,PHO,9.2
Cedric Maxwell,BOS,9.1
Buck Williams,NJN,8.9
Bernard King*,GSW,8.7
