Player,Tm,WS
Michael Jordan*,CHI,19.8
Charles Barkley*,PHI,16.1
Magic Johnson*,LAL,16.1
John Stockton*,UTA,15.6
Karl Malone*,UTA,15.2
Clyde Drexler*,POR,12.6
Hakeem Olajuwon*,HOU,12.4
Kevin Johnson,PHO,12.2
Mark Price,CLE,11.3
Patrick Ewing*,NYK,10.9
Dale Ellis,SEA,10.8
Moses Malone*,ATL,10.7
Chris Mullin*,GSW,10.6
Robert Parish*,BOS,10.5
Dominique Wilkins*,ATL,10.4
Larry Nance,CLE,10.3
Ron Harper,CLE,10.2
Kevin McHale*,BOS,10.1
James Worthy*,LAL,9.7
Brad Daugherty,CLE,9.6
