Season,Top15Mean,Top15Max,Top15Min,Top15Median
1980-1981,4.973333333333333,8.8,3.3,4.3
1981-1982,4.866666666666666,7.7,3.8,4.3
1982-1983,4.86,7.5,3.5,4.5
1983-1984,4.3933333333333335,7.6,3.1,4.1
1984-1985,5.173333333333332,8.8,3.8,4.4
1985-1986,5.0600000000000005,8.7,3.9,4.9
1986-1987,6.1000000000000005,10.8,3.7,5.3
1987-1988,5.913333333333333,13.0,3.5,4.9
1988-1989,6.066666666666666,11.9,4.0,5.2
1989-1990,6.8,11.2,5.0,5.8
