Season,Top15Mean,Top15Max,Top15Min,Top15Median
1980-1981,4.8199999999999985,6.1,4.1,4.6
1981-1982,4.886666666666667,6.7,4.1,4.7
1982-1983,5.126666666666667,6.2,4.4,5.0
1983-1984,4.3933333333333335,5.6,3.8,4.2
1984-1985,4.493333333333333,6.7,3.9,4.2
1985-1986,4.593333333333334,6.2,4.0,4.4
1986-1987,4.706666666666666,6.0,4.0,4.7
1987-1988,4.813333333333334,6.3,3.8,4.7
1988-1989,5.1,7.8,4.0,4.7
1989-1990,2.153333333333334,2.5,2.1,2.1
