Player,Tm,DRB
Swen Nater,SDC,722
Moses Malone*,HOU,706
Larry Bird*,BOS,704
Jack Sikma*,SEA,668
Kareem Abdul-Jabbar*,LAL,624
Caldwell Jones,PHI,613
Artis Gilmore*,CHI,608
Kenny Carr,CLE,575
Truck Robinson,PHO,573
Larry Smith,GSW,561
Elvin Hayes*,WSB,554
Reggie King,KCK,551
Robert Parish*,BOS,532
Tom LaGarde,DAL,488
Joe Barry Carroll,GSW,485
Dave Greenwood,CHI,481
Jim Chones,LAL,477
Ben Poquette,UTA,469
Wes Unseld*,WSB,466
Mychal Thompson,POR,463
