Player,Tm,DRB
Bill Laimbeer,DET,770
Charles Barkley*,PHI,672
Buck Williams,NJN,657
James Donaldson,TOT,624
Ralph Sampson*,HOU,621
Larry Bird*,BOS,615
Jack Sikma*,SEA,602
Karl Malone*,UTA,544
Herb Williams,IND,538
Moses Malone*,PHI,533
Robert Parish*,BOS,524
James Donaldson,DAL,521
LaSalle Thompson,SAC,518
Mark Eaton,UTA,503
Cliff Robinson,WSB,500
Sam Perkins,DAL,490
Joe Barry Carroll,GSW,477
Terry Cummings,MIL,472
Roy Hinson,CLE,472
Larry Smith,GSW,472
