Player,Tm,DRB
Jack Sikma*,SEA,686
Bill Laimbeer,DET,674
Jeff Ruland,WSB,657
Buck Williams,NJN,645
Ralph Sampson*,HOU,620
Larry Bird*,BOS,615
Robert Parish*,BOS,614
Moses Malone*,PHI,598
Cliff Robinson,CLE,597
Dave Greenwood,CHI,572
Rick Mahorn,WSB,569
Maurice Lucas,PHO,517
Dan Roundfield,ATL,515
Pat Cummings,DAL,507
Clark Kellogg,IND,489
James Donaldson,SDC,484
Bill Cartwright,NYK,454
Terry Cummings,SDC,454
Mychal Thompson,POR,453
Larry Nance,PHO,451
