Player,Tm,DRB
Mark Eaton,UTA,720
Bill Laimbeer,DET,718
Buck Williams,NJN,682
Larry Bird*,BOS,678
Moses Malone*,PHI,646
Ralph Sampson*,HOU,626
Artis Gilmore*,SAS,615
LaSalle Thompson,KCK,580
Robert Parish*,BOS,577
Jack Sikma*,SEA,559
Hakeem Olajuwon*,HOU,534
Jay Vincent,DAL,519
Clark Kellogg,IND,500
James Donaldson,LAC,500
Kevin McHale*,BOS,483
Herb Williams,IND,480
Steve Stipanovich,IND,473
Terry Cummings,MIL,472
Larry Smith,GSW,464
Kareem Abdul-Jabbar*,LAL,460
