Player,Tm,DRB
Hakeem Olajuwon*,HOU,850
David Robinson*,SAS,680
Karl Malone*,UTA,679
Patrick Ewing*,NYK,658
Larry Bird*,BOS,622
Bill Laimbeer,DET,614
Buck Williams,POR,550
Charles Barkley*,PHI,548
Darrell Walker,WSB,541
Robert Parish*,BOS,537
Mark West,PHO,516
Michael Cage,SEA,515
Rony Seikaly,MIA,513
Fat Lever,DEN,504
Benoit Benjamin,LAC,501
J.R. Reid,CHH,492
Mike Gminski,PHI,491
Sam Bowie,NJN,484
Rodney McCray,SAC,477
Kevin McHale*,BOS,476
