Player,Tm,DRB
Charles Oakley,CHI,775
Bill Laimbeer,DET,712
Buck Williams,NJN,701
James Donaldson,DAL,678
Jack Sikma*,MIL,614
Charles Barkley*,PHI,604
Robert Parish*,BOS,597
Karl Malone*,UTA,577
Michael Cage,LAC,568
Otis Thorpe,SAC,560
Larry Bird*,BOS,558
Larry Smith,GSW,551
Hakeem Olajuwon*,HOU,543
Kevin Willis,ATL,528
Dave Greenwood,SAS,527
Kevin McHale*,BOS,516
Fat Lever,DEN,513
Chuck Person,IND,509
Brad Daugherty,CLE,495
Steve Stipanovich,IND,486
