Player,Tm,DRB
Charles Oakley,CHI,740
Karl Malone*,UTA,709
Bill Laimbeer,DET,667
Hakeem Olajuwon*,HOU,657
Roy Tarpley,DAL,599
Larry Bird*,BOS,595
Mike Gminski,TOT,569
Michael Cage,LAC,567
Charles Barkley*,PHI,566
Otis Thorpe,SAC,558
Buck Williams,NJN,536
Brad Daugherty,CLE,514
Jack Sikma*,MIL,514
Moses Malone*,WSB,512
James Donaldson,DAL,508
Steve Stipanovich,IND,505
Mark Eaton,UTA,487
A.C. Green,LAL,465
Danny Schayes,DEN,462
Fat Lever,DEN,462
