Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar*,C,36,LAL,80,32.8,21.5,7.3,2.6,0.7,1.8,2.8,0.578,,0.579,0.578,0.723,1983-1984,21.3,0.608,25.1,5.9,3.1,8.9,0.163,2.8,0.2,3.0,3.3
Alvan Adams,C,29,PHO,70,20.7,9.6,4.6,3.1,1.0,0.4,1.7,0.462,0.0,0.465,0.462,0.825,1983-1984,16.6,0.513,21.7,1.5,1.8,3.3,0.109,0.7,0.9,1.6,1.3
Mark Aguirre,SF,24,DAL,79,36.7,29.5,5.9,4.5,1.0,0.3,3.6,0.524,0.268,0.532,0.528,0.749,1983-1984,23.5,0.572,33.4,7.0,2.0,9.0,0.149,5.0,-1.2,3.7,4.1
Danny Ainge,SG,24,BOS,71,16.3,5.4,1.6,2.3,0.6,0.1,1.0,0.46,0.273,0.472,0.468,0.821,1983-1984,10.4,0.498,16.2,0.5,1.3,1.8,0.076,-2.2,0.4,-1.8,0.0
Richard Anderson,PF,23,DEN,78,17.7,8.5,5.2,2.5,0.6,0.4,1.4,0.426,0.158,0.435,0.429,0.773,1983-1984,14.6,0.471,22.2,0.3,1.0,1.3,0.044,-0.9,-0.9,-1.9,0.0
Tiny Archibald*,PG,35,MIL,46,22.6,7.4,1.7,3.5,0.7,0.0,1.7,0.487,0.222,0.506,0.495,0.634,1983-1984,10.6,0.526,16.3,0.3,1.1,1.4,0.065,-1.7,-0.3,-2.0,0.0
John Bagley,PG,23,CLE,76,22.5,8.9,2.1,4.4,1.0,0.1,2.2,0.423,0.118,0.432,0.425,0.793,1983-1984,12.8,0.485,21.0,-0.4,1.3,0.9,0.025,-0.9,-0.9,-1.8,0.1
James Bailey,PF,26,HOU,73,16.1,8.8,4.0,1.1,0.5,0.5,1.4,0.491,,0.492,0.491,0.719,1983-1984,15.5,0.537,23.6,1.0,1.3,2.3,0.093,-1.1,-0.2,-1.3,0.2
Thurl Bailey,PF,22,UTA,81,24.8,8.5,5.7,1.6,0.5,1.5,1.3,0.512,,0.512,0.512,0.752,1983-1984,12.9,0.539,14.8,1.3,2.3,3.6,0.086,-1.2,0.7,-0.5,0.8
Greg Ballard,SF,29,WSB,82,32.9,14.5,6.0,3.5,1.1,0.4,1.7,0.481,0.133,0.486,0.482,0.798,1983-1984,15.3,0.515,20.5,2.4,3.2,5.6,0.099,0.6,0.5,1.1,2.1
Gene Banks,PF,24,SAS,80,32.5,13.1,7.3,3.2,1.3,0.3,2.1,0.568,0.167,0.571,0.568,0.741,1983-1984,15.4,0.606,15.4,4.5,1.7,6.2,0.115,1.1,0.0,1.2,2.1
