Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar*,C,37,LAL,79,33.3,22.0,7.9,3.2,0.8,2.1,2.5,0.599,,0.6,0.599,0.732,1984-1985,22.9,0.628,24.3,7.6,3.6,11.2,0.204,3.9,1.2,5.1,4.8
Alvan Adams,PF,30,PHO,82,26.0,14.7,6.1,3.8,1.4,0.6,2.4,0.52,,0.52,0.52,0.883,1984-1985,19.8,0.578,23.6,3.5,3.3,6.8,0.152,2.3,1.7,4.0,3.2
Mark Aguirre,SF,25,DAL,80,33.7,25.7,6.0,3.1,0.8,0.3,3.2,0.506,0.318,0.517,0.515,0.759,1984-1985,21.3,0.563,32.2,5.3,1.9,7.2,0.128,3.5,-1.7,1.8,2.6
Danny Ainge,SG,25,BOS,75,34.2,12.9,3.6,5.3,1.6,0.1,2.0,0.529,0.268,0.549,0.539,0.868,1984-1985,14.2,0.57,15.9,3.9,2.8,6.6,0.124,-0.1,0.8,0.7,1.8
Chuck Aleksinas,C,25,GSW,74,15.1,5.1,3.6,0.5,0.2,0.2,1.0,0.478,,0.479,0.478,0.733,1984-1985,9.1,0.509,15.6,0.1,0.4,0.4,0.019,-3.8,-1.9,-5.6,-1.0
John Bagley,PG,24,CLE,81,29.6,9.9,3.6,8.6,1.6,0.1,2.6,0.488,0.115,0.502,0.49,0.749,1984-1985,16.0,0.524,16.3,2.3,2.3,4.6,0.092,1.3,0.4,1.7,2.2
James Bailey,PF,27,NYK,74,17.5,5.2,4.6,0.5,0.4,0.7,1.4,0.447,,0.448,0.447,0.676,1984-1985,7.9,0.485,15.8,-0.8,1.4,0.6,0.021,-5.5,-0.4,-5.8,-1.3
Thurl Bailey,PF,23,UTA,80,31.0,15.2,6.6,1.7,0.6,1.3,1.9,0.49,,0.49,0.491,0.842,1984-1985,14.7,0.533,20.6,1.6,3.8,5.4,0.104,-0.6,0.5,-0.2,1.2
Greg Ballard,SF,30,WSB,82,32.5,13.1,6.5,2.5,1.2,0.4,1.3,0.48,0.304,0.488,0.487,0.795,1984-1985,14.3,0.513,18.0,2.1,3.9,6.0,0.109,-0.3,0.9,0.6,1.7
Gene Banks,SF,25,SAS,82,25.5,9.5,5.4,2.9,0.8,0.2,1.7,0.586,,0.588,0.587,0.774,1984-1985,14.5,0.642,14.3,3.9,1.8,5.6,0.13,1.0,0.2,1.2,1.7
Ken Bannister,PF,24,NYK,75,18.7,6.8,4.4,0.5,0.5,0.5,1.9,0.47,,0.47,0.47,0.474,1984-1985,7.3,0.481,19.7,-2.2,1.4,-0.8,-0.028,-6.2,-0.9,-7.1,-1.8
Charles Barkley*,PF,21,PHI,82,28.6,14.0,8.6,1.9,1.2,1.0,2.5,0.545,0.167,0.548,0.546,0.733,1984-1985,18.3,0.599,20.0,4.2,3.3,7.5,0.154,1.3,0.4,1.7,2.2
Kent Benson,C,30,DET,72,19.5,6.6,4.5,1.3,0.7,0.6,0.9,0.506,,0.51,0.506,0.809,1984-1985,12.6,0.545,13.9,1.5,1.9,3.3,0.113,-1.3,1.6,0.2,0.8
Larry Bird*,SF,28,BOS,80,39.5,28.7,10.5,6.6,1.6,1.2,3.1,0.522,0.427,0.529,0.538,0.882,1984-1985,26.5,0.585,28.5,10.5,5.2,15.7,0.238,6.8,2.0,8.8,8.7
Otis Birdsong,SG,29,NJN,56,32.9,20.6,2.6,4.1,1.5,0.1,2.1,0.511,0.19,0.518,0.513,0.622,1984-1985,18.1,0.534,26.3,2.8,1.4,4.2,0.109,1.7,-0.5,1.2,1.5
Rolando Blackman,SG,25,DAL,81,35.0,19.7,3.7,3.6,0.8,0.2,2.0,0.508,0.3,0.512,0.511,0.828,1984-1985,17.7,0.566,23.2,5.8,1.4,7.3,0.123,2.2,-1.4,0.9,2.0
Sam Bowie,C,23,POR,76,29.2,10.0,8.6,2.8,0.7,2.7,2.3,0.537,,0.537,0.537,0.711,1984-1985,15.7,0.578,14.8,2.2,3.5,5.7,0.123,-0.3,2.3,2.0,2.2
Dudley Bradley,SG,27,WSB,73,16.9,4.9,1.8,2.4,1.3,0.3,1.2,0.475,0.313,0.519,0.508,0.684,1984-1985,12.2,0.536,14.1,0.3,2.1,2.4,0.093,-2.3,3.8,1.5,1.1
Ron Brewer,SG,29,TOT,20,16.3,7.4,1.1,0.9,0.3,0.3,0.5,0.525,0.0,0.534,0.525,0.92,1984-1985,13.4,0.57,17.1,0.6,0.2,0.8,0.111,0.3,-1.3,-1.0,0.1
Junior Bridgeman,SF,31,LAC,80,25.5,13.9,2.9,2.1,0.6,0.2,1.5,0.465,0.359,0.469,0.472,0.879,1984-1985,14.8,0.516,23.9,2.2,0.9,3.1,0.074,-0.2,-1.2,-1.4,0.3
Tony Brown,SF,24,IND,82,19.3,6.6,3.5,1.9,0.7,0.1,1.4,0.46,0.0,0.466,0.46,0.678,1984-1985,10.8,0.503,16.3,0.4,1.4,1.8,0.054,-1.6,-0.1,-1.7,0.1
Wallace Bryant,C,25,DAL,56,15.4,2.9,4.3,1.5,0.4,0.4,0.8,0.453,,0.453,0.453,0.682,1984-1985,10.3,0.49,10.4,0.3,1.0,1.3,0.073,-1.9,1.2,-0.7,0.3
Michael Cage,PF,23,LAC,75,21.5,7.1,5.2,0.7,0.5,0.4,1.1,0.543,,0.543,0.543,0.737,1984-1985,12.5,0.582,13.7,1.8,1.4,3.2,0.096,-1.3,-0.2,-1.5,0.2
Antoine Carr,PF,23,ATL,62,19.3,8.0,3.7,1.3,0.5,1.3,1.7,0.528,0.333,0.531,0.531,0.789,1984-1985,13.0,0.578,18.6,0.6,1.5,2.1,0.084,-2.6,1.3,-1.3,0.2
Kenny Carr,PF,29,POR,48,23.3,10.4,6.7,1.2,0.5,0.4,2.1,0.523,0.0,0.528,0.523,0.72,1984-1985,13.4,0.572,18.9,0.7,1.4,2.1,0.091,-1.5,-0.9,-2.4,-0.1
Butch Carter,SG,26,NYK,69,18.5,7.9,1.4,2.4,0.8,0.1,1.6,0.45,0.256,0.469,0.461,0.813,1984-1985,11.5,0.512,20.8,0.1,0.8,0.9,0.032,-1.6,-0.6,-2.2,-0.1
Harvey Catchings,C,33,LAC,70,15.0,2.9,3.7,0.2,0.2,0.8,0.8,0.483,,0.486,0.483,0.663,1984-1985,7.8,0.539,9.5,0.1,1.0,1.1,0.05,-4.1,0.4,-3.7,-0.5
Tom Chambers,PF,25,SEA,81,36.1,21.5,7.1,2.6,0.9,0.7,3.2,0.483,0.273,0.487,0.485,0.832,1984-1985,16.5,0.56,26.0,3.1,2.9,5.9,0.098,0.0,-0.6,-0.6,1.0
Maurice Cheeks*,PG,28,PHI,78,33.5,13.1,2.8,6.4,2.2,0.3,2.0,0.57,0.231,0.582,0.574,0.879,1984-1985,17.6,0.619,15.1,6.2,2.8,9.0,0.165,2.2,1.5,3.7,3.8
Steve Colter,PG,22,POR,78,18.7,7.1,1.9,3.1,1.0,0.1,1.4,0.453,0.351,0.471,0.48,0.754,1984-1985,12.5,0.52,17.5,0.9,1.4,2.3,0.076,-0.8,0.0,-0.8,0.4
Lester Conner,PG,25,GSW,79,28.6,8.1,3.1,4.7,2.0,0.2,1.7,0.451,0.2,0.46,0.454,0.75,1984-1985,13.1,0.508,13.3,1.5,1.3,2.8,0.06,-0.7,1.0,0.3,1.3
Darwin Cook,PG,26,NJN,58,18.3,8.2,1.6,2.8,1.3,0.2,1.3,0.468,0.087,0.488,0.47,0.87,1984-1985,14.3,0.496,21.0,0.3,1.2,1.6,0.071,-1.4,1.2,-0.2,0.5
Jeff Cook,PF,28,TOT,72,17.9,4.5,4.4,0.9,0.4,0.3,0.7,0.495,,0.496,0.495,0.734,1984-1985,9.6,0.526,11.1,1.2,1.1,2.3,0.085,-2.1,-0.3,-2.4,-0.1
Jeff Cook,PF,28,SAS,54,15.7,4.0,3.9,0.7,0.5,0.3,0.6,0.529,,0.529,0.529,0.811,1984-1985,10.0,0.562,10.5,1.0,0.8,1.8,0.1,-2.1,-0.3,-2.4,-0.1
Michael Cooper,SG,28,LAL,82,26.7,8.6,3.1,5.2,1.1,0.6,1.9,0.465,0.285,0.513,0.495,0.865,1984-1985,12.9,0.539,14.9,2.3,2.3,4.6,0.102,0.4,1.1,1.5,1.9
