Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar*,C,40,LAL,80,28.9,14.6,6.0,1.7,0.6,1.2,2.0,0.532,,0.532,0.532,0.762,1987-1988,15.8,0.57,21.4,2.6,2.7,5.3,0.111,-0.1,0.1,0.0,1.2
Alvan Adams,C,33,PHO,82,20.1,7.5,4.5,2.2,1.0,0.5,1.7,0.496,,0.496,0.497,0.844,1987-1988,13.1,0.543,17.4,0.6,1.6,2.2,0.064,-1.5,1.0,-0.5,0.6
Michael Adams,PG,25,DEN,82,33.9,13.9,2.7,6.1,2.0,0.2,1.8,0.449,0.367,0.505,0.524,0.834,1987-1988,15.6,0.56,16.2,4.4,3.2,7.5,0.13,1.5,0.9,2.5,3.1
Mark Aguirre,SF,28,DAL,77,33.9,25.1,5.6,3.6,0.9,0.7,2.6,0.475,0.302,0.496,0.491,0.77,1987-1988,21.9,0.539,31.6,6.5,2.3,8.8,0.163,4.6,-0.8,3.8,3.9
Danny Ainge,SG,28,BOS,81,37.3,15.7,3.1,6.2,1.4,0.2,1.9,0.491,0.415,0.534,0.566,0.878,1987-1988,15.9,0.598,17.3,6.7,1.9,8.6,0.136,2.7,-0.3,2.4,3.3
Greg Anderson,PF,23,SAS,82,24.2,11.7,6.3,1.0,0.7,1.5,1.7,0.501,0.2,0.503,0.502,0.604,1987-1988,14.7,0.531,20.8,0.8,1.5,2.3,0.056,-1.6,-1.1,-2.7,-0.4
Richard Anderson,PF,27,TOT,74,18.2,6.1,4.1,1.5,0.7,0.2,0.8,0.39,0.32,0.426,0.444,0.753,1987-1988,11.1,0.474,15.6,0.7,1.6,2.3,0.082,-0.7,0.1,-0.6,0.5
Richard Anderson,PF,27,POR,62,20.9,6.7,4.6,1.7,0.8,0.3,1.0,0.387,0.311,0.424,0.438,0.75,1987-1988,10.7,0.468,15.4,0.4,1.6,2.0,0.075,-1.1,0.2,-1.0,0.3
John Bagley,PG,27,NJN,82,33.8,12.0,3.1,5.8,1.3,0.1,2.5,0.439,0.292,0.471,0.465,0.822,1987-1988,12.4,0.503,17.9,0.8,1.7,2.6,0.044,-0.7,-0.7,-1.4,0.4
Thurl Bailey,SF,26,UTA,82,34.2,19.6,6.5,1.9,0.6,1.5,2.3,0.492,,0.493,0.493,0.826,1987-1988,16.3,0.547,24.2,2.7,4.1,6.8,0.116,0.3,-0.1,0.2,1.6
Charles Barkley*,PF,24,PHI,80,39.6,28.3,11.9,3.2,1.3,1.3,3.8,0.587,0.28,0.63,0.604,0.751,1987-1988,27.6,0.665,26.7,13.4,3.3,16.7,0.253,7.3,0.1,7.4,7.5
John Battle,SG,25,ATL,67,18.3,10.6,1.7,2.4,0.5,0.1,1.1,0.454,0.39,0.458,0.467,0.75,1987-1988,16.3,0.512,26.4,1.5,0.8,2.3,0.092,1.4,-1.0,0.4,0.7
Benoit Benjamin,C,23,LAC,66,32.9,13.0,8.0,2.6,0.8,3.4,3.4,0.491,0.0,0.496,0.491,0.706,1987-1988,14.1,0.534,19.3,-1.4,3.5,2.0,0.045,-2.8,2.8,-0.1,1.0
Walter Berry,SF,23,SAS,73,26.3,17.4,5.4,1.5,0.8,0.9,2.2,0.563,,0.563,0.563,0.6,1987-1988,18.8,0.578,25.9,2.7,0.7,3.4,0.086,1.6,-2.0,-0.4,0.8
Larry Bird*,SF,31,BOS,76,39.0,29.9,9.3,6.1,1.6,0.8,2.8,0.527,0.414,0.546,0.556,0.916,1987-1988,27.8,0.608,30.2,11.2,3.8,15.0,0.243,7.8,1.0,8.8,8.1
Otis Birdsong,SG,32,NJN,67,28.1,10.9,2.5,3.3,0.8,0.2,1.9,0.458,0.36,0.461,0.464,0.511,1987-1988,10.4,0.47,20.3,-0.9,0.8,-0.1,-0.003,-2.0,-1.4,-3.4,-0.7
Rolando Blackman,SG,28,DAL,71,36.3,18.7,3.5,3.7,0.9,0.3,2.0,0.473,0.0,0.476,0.473,0.873,1987-1988,16.0,0.544,21.8,5.1,1.6,6.8,0.126,1.0,-0.8,0.2,1.4
Muggsy Bogues,PG,23,WSB,79,20.6,5.0,1.7,5.1,1.6,0.0,1.3,0.39,0.188,0.398,0.393,0.784,1987-1988,12.7,0.429,14.2,0.2,2.1,2.3,0.066,-1.0,1.9,0.9,1.2
Dudley Bradley,SG,30,TOT,65,22.1,6.5,2.0,2.3,1.8,0.7,1.4,0.427,0.363,0.452,0.478,0.763,1987-1988,11.4,0.519,14.6,0.1,1.8,1.9,0.064,-2.2,3.1,0.8,1.0
Dudley Bradley,SG,30,NJN,63,22.7,6.7,2.0,2.4,1.8,0.7,1.4,0.429,0.366,0.452,0.479,0.763,1987-1988,11.4,0.52,14.6,0.1,1.8,1.9,0.065,-2.2,3.1,0.9,1.0
Adrian Branch,SF,24,NJN,20,15.4,6.7,2.4,0.8,0.8,0.6,1.5,0.418,0.2,0.426,0.422,0.87,1987-1988,10.4,0.461,23.7,-0.5,0.3,-0.1,-0.021,-3.8,-0.4,-4.3,-0.2
Randy Breuer,C,27,MIL,81,27.9,12.0,6.8,1.3,0.6,1.3,1.3,0.495,,0.495,0.495,0.657,1987-1988,15.3,0.53,19.0,2.4,2.8,5.1,0.109,-0.1,0.0,-0.1,1.1
Frank Brickowski,C,28,SAS,70,31.8,16.0,6.9,3.8,1.1,0.5,3.0,0.528,0.2,0.53,0.529,0.768,1987-1988,16.0,0.584,20.7,3.0,1.1,4.1,0.088,0.3,-0.9,-0.6,0.8
Michael Cage,PF,26,LAC,72,36.9,14.5,13.0,1.5,1.3,0.8,2.2,0.47,,0.471,0.47,0.688,1987-1988,16.4,0.537,17.3,2.9,3.8,6.7,0.121,0.0,-0.6,-0.6,0.9
Antoine Carr,PF,26,ATL,80,18.5,8.8,3.6,1.3,0.5,1.0,1.5,0.544,0.25,0.546,0.544,0.78,1987-1988,15.5,0.59,20.2,2.0,1.8,3.8,0.122,-1.0,1.3,0.3,0.9
Joe Barry Carroll,C,29,TOT,77,26.0,12.7,6.4,1.5,0.6,1.4,2.1,0.435,,0.436,0.435,0.764,1987-1988,13.6,0.477,23.8,-1.1,2.7,1.6,0.039,-2.2,0.1,-2.2,-0.1
Joe Barry Carroll,C,29,HOU,63,25.3,12.0,6.3,1.5,0.6,1.3,1.9,0.452,,0.452,0.452,0.748,1987-1988,14.0,0.486,22.7,-0.4,2.4,2.0,0.061,-1.7,0.3,-1.5,0.2
Bill Cartwright,C,30,NYK,82,20.4,11.1,4.7,1.0,0.5,0.5,1.6,0.544,,0.544,0.544,0.798,1987-1988,17.8,0.639,20.6,4.3,2.1,6.4,0.183,1.5,0.5,2.0,1.7
Terry Catledge,PF,24,WSB,70,23.0,10.7,5.7,0.9,0.5,0.1,1.4,0.506,,0.508,0.506,0.655,1987-1988,14.7,0.542,20.2,2.0,1.5,3.5,0.103,0.0,-1.6,-1.6,0.1
Tom Chambers,PF,28,SEA,82,32.7,20.4,6.0,2.6,1.1,0.6,2.5,0.448,0.303,0.461,0.46,0.807,1987-1988,16.8,0.526,27.0,3.7,2.7,6.4,0.114,0.8,-0.8,0.0,1.3
Maurice Cheeks*,PG,31,PHI,79,36.3,13.7,3.2,8.0,2.1,0.3,2.0,0.495,0.136,0.504,0.497,0.825,1987-1988,18.0,0.551,16.9,6.1,2.2,8.3,0.138,2.6,0.8,3.4,3.9
Ben Coleman,PF,26,TOT,70,21.4,8.5,5.0,0.9,0.6,0.6,1.8,0.499,,0.502,0.499,0.762,1987-1988,12.0,0.555,18.6,0.4,1.4,1.8,0.058,-2.8,-0.3,-3.1,-0.4
Ben Coleman,PF,26,NJN,27,24.3,11.0,6.4,1.4,1.0,0.6,2.7,0.483,0.0,0.487,0.483,0.774,1987-1988,13.2,0.536,22.4,-0.2,0.8,0.6,0.041,-3.1,0.0,-3.2,-0.2
Ben Coleman,PF,26,PHI,43,19.6,6.9,4.1,0.5,0.3,0.6,1.3,0.516,,0.519,0.516,0.752,1987-1988,11.0,0.575,15.7,0.6,0.6,1.2,0.071,-2.6,-0.6,-3.1,-0.2
Steve Colter,PG,25,TOT,68,22.3,7.1,2.5,3.8,0.9,0.2,1.3,0.46,0.3,0.464,0.464,0.789,1987-1988,12.8,0.501,15.6,1.2,1.4,2.6,0.081,-0.4,0.7,0.4,0.9
