Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jim Petersen,C,26,SAC,66,24.7,10.2,6.3,1.2,0.7,1.0,2.2,0.459,0.0,0.465,0.459,0.747,1988-1989,11.4,0.498,20.6,-1.1,1.8,0.6,0.019,-4.1,0.0,-4.1,-0.9
Ricky Pierce,SG,29,MIL,75,27.7,17.6,2.6,2.1,1.0,0.3,1.5,0.518,0.222,0.529,0.522,0.859,1988-1989,18.6,0.573,25.2,5.0,1.7,6.7,0.155,2.3,-0.4,1.9,2.0
Ed Pinckney,PF,25,TOT,80,25.2,11.5,5.6,1.5,1.0,0.8,1.5,0.513,0.0,0.518,0.513,0.8,1988-1989,17.2,0.591,18.3,4.0,2.1,6.1,0.145,0.9,0.6,1.5,1.8
Ed Pinckney,PF,25,SAC,51,26.2,12.3,5.9,1.5,1.1,0.8,1.6,0.502,0.0,0.509,0.502,0.801,1988-1989,17.0,0.575,19.2,2.2,1.4,3.6,0.13,0.5,0.4,0.9,1.0
Ed Pinckney,PF,25,BOS,29,23.4,10.1,5.1,1.5,1.0,0.8,1.3,0.54,,0.54,0.54,0.798,1988-1989,17.7,0.629,16.6,1.8,0.7,2.5,0.176,1.6,1.0,2.6,0.8
Scottie Pippen*,SF,23,CHI,73,33.1,14.4,6.1,3.5,1.9,0.8,2.7,0.476,0.273,0.496,0.488,0.668,1988-1989,14.9,0.524,21.3,0.7,3.3,4.0,0.08,-0.5,1.0,0.4,1.5
Terry Porter,PG,25,POR,81,38.3,17.7,4.5,9.5,1.8,0.1,3.1,0.471,0.361,0.497,0.506,0.84,1988-1989,17.7,0.555,19.1,6.5,2.6,9.2,0.142,2.6,-0.4,2.3,3.3
Paul Pressey,SG,30,MIL,67,32.4,12.1,3.9,6.6,1.8,0.7,2.7,0.474,0.218,0.497,0.483,0.776,1988-1989,15.0,0.539,17.9,2.1,2.7,4.8,0.105,0.6,1.5,2.2,2.3
Harold Pressley,PF,25,SAC,80,28.2,12.3,6.1,2.2,1.2,1.0,1.6,0.439,0.403,0.457,0.507,0.78,1988-1989,15.7,0.529,19.1,2.7,2.1,4.8,0.102,1.7,0.2,1.9,2.2
Mark Price,PG,24,CLE,75,36.4,18.9,3.0,8.4,1.5,0.1,2.8,0.526,0.441,0.548,0.572,0.901,1988-1989,20.6,0.623,21.0,8.0,3.3,11.3,0.199,4.5,0.0,4.5,4.5
Kurt Rambis,PF,30,CHH,75,29.8,11.1,9.4,2.1,1.3,0.8,2.0,0.518,,0.521,0.518,0.734,1988-1989,16.1,0.565,16.2,2.6,2.3,4.8,0.104,0.2,0.2,0.3,1.3
Blair Rasmussen,C,26,DEN,77,17.0,7.6,3.7,0.6,0.4,0.5,0.6,0.445,,0.445,0.445,0.852,1988-1989,11.6,0.476,19.4,0.4,1.3,1.8,0.065,-3.0,-1.5,-4.4,-0.8
