Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar*,C,33,LAL,80,37.2,26.2,10.3,3.4,0.7,2.9,3.1,0.574,,0.574,0.574,0.766,1980-1981,25.5,0.616,26.3,9.6,4.6,14.3,0.23,4.7,1.4,6.1,6.1
Alvan Adams,C,26,PHO,75,27.4,14.9,7.3,4.6,1.4,0.9,3.0,0.526,,0.526,0.526,0.768,1980-1981,20.3,0.567,23.0,3.3,4.5,7.7,0.18,2.5,2.6,5.1,3.7
Tiny Archibald*,PG,32,BOS,80,35.3,13.8,2.2,7.7,0.9,0.2,3.3,0.499,0.0,0.505,0.499,0.816,1980-1981,14.3,0.582,17.5,4.6,2.3,6.9,0.118,0.9,-1.0,-0.1,1.4
James Bailey,PF,23,SEA,82,31.0,14.0,7.4,1.2,0.9,1.7,2.7,0.499,,0.499,0.5,0.709,1980-1981,14.5,0.546,20.3,1.4,3.6,4.9,0.094,-1.7,0.6,-1.1,0.6
Greg Ballard,SF,26,WSB,82,31.8,15.5,7.1,2.4,1.4,0.5,1.4,0.463,0.219,0.47,0.466,0.847,1980-1981,16.7,0.5,21.4,2.8,4.1,6.9,0.127,0.8,1.4,2.2,2.8
Mike Bantom,SF,29,IND,76,31.3,14.0,5.6,3.2,1.1,1.1,2.6,0.489,0.0,0.492,0.489,0.708,1980-1981,14.5,0.528,20.3,1.8,2.5,4.4,0.088,-0.2,0.1,-0.1,1.2
Billy Ray Bates,SG,24,POR,77,20.3,13.8,2.0,2.5,1.1,0.1,1.9,0.487,0.259,0.501,0.494,0.854,1980-1981,19.3,0.537,28.9,2.4,1.2,3.6,0.111,2.3,-0.9,1.3,1.3
Kent Benson,C,26,DET,59,33.2,15.7,6.8,2.9,1.2,1.1,3.2,0.473,0.0,0.475,0.473,0.772,1980-1981,15.1,0.524,22.2,0.6,2.5,3.1,0.075,-0.3,0.4,0.1,1.0
Henry Bibby,PG,31,SDC,73,15.2,4.6,1.0,2.7,0.6,0.0,1.0,0.386,0.337,0.408,0.438,0.684,1980-1981,10.6,0.48,15.6,0.5,0.5,1.0,0.043,-1.0,-0.9,-1.9,0.0
Larry Bird*,PF,24,BOS,82,39.5,21.2,10.9,5.5,2.0,0.8,3.5,0.478,0.27,0.489,0.485,0.863,1980-1981,19.9,0.528,24.3,4.7,6.1,10.8,0.16,2.5,1.8,4.3,5.2
