Player,Tm,PTS
Michael Jordan*,CHI,2753
Karl Malone*,UTA,2540
Patrick Ewing*,NYK,2347
Tom Chambers,PHO,2201
Dominique Wilkins*,ATL,2138
Reggie Miller*,IND,2016
Hakeem Olajuwon*,HOU,1995
David Robinson*,SAS,1993
Charles Barkley*,PHI,1989
Chris Mullin*,GSW,1956
Tony Campbell,MIN,1903
Bernard King*,WSB,1837
Larry Bird*,BOS,1820
Jeff Malone,WSB,1820
Terry Cummings,SAS,1818
Magic Johnson*,LAL,1765
Wayman Tisdale,SAC,1758
Mitch Richmond*,GSW,1720
Kevin McHale*,BOS,1712
Clyde Drexler*,POR,1703
