Player,Tm,PTS
Michael Jordan*,CHI,2868
Dominique Wilkins*,ATL,2397
Larry Bird*,BOS,2275
Karl Malone*,UTA,2268
Charles Barkley*,PHI,2264
Clyde Drexler*,POR,2185
Alex English*,DEN,2000
Dale Ellis,SEA,1938
Mark Aguirre,DAL,1932
Hakeem Olajuwon*,HOU,1805
Byron Scott,LAL,1754
Otis Thorpe,SAC,1704
Tom Chambers,SEA,1674
Xavier McDaniel,SEA,1669
Patrick Ewing*,NYK,1653
Jeff Malone,WSB,1641
Terry Cummings,MIL,1621
Alvin Robertson,SAS,1610
Moses Malone*,WSB,1607
Thurl Bailey,UTA,1604
