Player,Tm,PTS
Alex English*,DEN,2414
Dominique Wilkins*,ATL,2366
Adrian Dantley*,UTA,2267
Larry Bird*,BOS,2115
Kiki Vandeweghe,POR,1962
Mike Mitchell,SAS,1921
Kareem Abdul-Jabbar*,LAL,1846
Jeff Malone,WSB,1795
Rolando Blackman,DAL,1762
Moses Malone*,PHI,1759
World B. Free,CLE,1754
Joe Barry Carroll,GSW,1677
Mark Aguirre,DAL,1670
Purvis Short,GSW,1632
Terry Cummings,MIL,1627
Kelly Tripucka,DET,1622
Isiah Thomas*,DET,1609
Roy Hinson,CLE,1606
Charles Barkley*,PHI,1603
Hakeem Olajuwon*,HOU,1597
