Player,Tm,PTS
Alex English*,DEN,2326
Kiki Vandeweghe,DEN,2186
George Gervin*,SAS,2043
Mark Aguirre,DAL,1979
Reggie Theus,CHI,1953
Moses Malone*,PHI,1908
Joe Barry Carroll,GSW,1907
Larry Bird*,BOS,1867
Isiah Thomas*,DET,1854
Jim Paxson,POR,1756
World B. Free,TOT,1743
Dan Issel*,DEN,1726
Kareem Abdul-Jabbar*,LAL,1722
Marques Johnson,MIL,1714
Sidney Moncrief*,MIL,1712
Darrell Griffith,UTA,1709
Terry Cummings,SDC,1660
Calvin Natt,POR,1630
Clark Kellogg,IND,1625
Eddie Johnson,KCK,1621
