Player,Tm,PTS
Michael Jordan*,CHI,2313
Larry Bird*,BOS,2295
Alex English*,DEN,2262
Dominique Wilkins*,ATL,2217
Purvis Short,GSW,2186
Mark Aguirre,DAL,2055
Moses Malone*,PHI,1941
Eddie Johnson,KCK,1876
Terry Cummings,MIL,1861
Mike Mitchell,SAS,1824
Calvin Natt,DEN,1817
Bernard King*,NYK,1809
Ralph Sampson*,HOU,1809
Derek Smith,LAC,1767
Orlando Woolridge,CHI,1767
Darrell Griffith,UTA,1764
Tom Chambers,SEA,1739
Kareem Abdul-Jabbar*,LAL,1735
Isiah Thomas*,DET,1720
Hakeem Olajuwon*,HOU,1692
