Season,Top15Mean,Top15Max,Top15Min,Top15Median
1980-1981,8.126666666666667,12.3,6.7,7.7
1981-1982,8.346666666666666,11.9,5.9,8.3
1982-1983,8.013333333333332,10.5,6.6,7.8
1983-1984,7.800000000000001,13.0,5.9,7.3
1984-1985,7.8133333333333335,10.5,6.2,7.5
1985-1986,7.613333333333333,10.4,6.0,7.2
1986-1987,8.653333333333334,12.1,6.8,7.8
1987-1988,8.633333333333335,15.2,6.2,7.5
1988-1989,9.086666666666668,14.6,6.6,8.6
1989-1990,9.766666666666667,14.7,7.5,9.0
