Player,Tm,OWS
Adrian Dantley*,UTA,10.4
Larry Bird*,BOS,9.6
Magic Johnson*,LAL,9.0
Kiki Vandeweghe,POR,9.0
Sidney Moncrief*,MIL,8.3
Kareem Abdul-Jabbar*,LAL,7.6
Alex English*,DEN,7.6
Kevin McHale*,BOS,7.2
Maurice Cheeks*,PHI,7.2
Dominique Wilkins*,ATL,7.0
James Worthy*,LAL,6.7
Mike Gminski,NJN,6.3
Rolando Blackman,DAL,6.2
Isiah Thomas*,DET,6.1
Sleepy Floyd,GSW,6.0
Brad Davis,DAL,5.7
Ricky Pierce,MIL,5.7
Kelly Tripucka,DET,5.6
Moses Malone*,PHI,5.5
Bill Laimbeer,DET,5.4
