Player,Tm,OWS
Larry Bird*,BOS,10.5
Michael Jordan*,CHI,10.3
Magic Johnson*,LAL,9.5
Calvin Natt,DEN,8.0
Moses Malone*,PHI,7.9
Kareem Abdul-Jabbar*,LAL,7.6
Kevin McHale*,BOS,7.6
Isiah Thomas*,DET,7.5
Orlando Woolridge,CHI,7.4
Sidney Moncrief*,MIL,7.3
Kiki Vandeweghe,POR,7.2
Artis Gilmore*,SAS,7.1
Alex English*,DEN,6.8
Derek Smith,LAC,6.3
Maurice Cheeks*,PHI,6.2
Rolando Blackman,DAL,5.8
Bernard King*,NYK,5.7
Brad Davis,DAL,5.7
Terry Cummings,MIL,5.6
Bill Laimbeer,DET,5.6
