Player,Tm,OWS
Michael Jordan*,CHI,15.2
Charles Barkley*,PHI,13.4
Larry Bird*,BOS,11.2
Clyde Drexler*,POR,9.3
John Stockton*,UTA,9.2
Kevin McHale*,BOS,8.2
Magic Johnson*,LAL,7.8
Adrian Dantley*,DET,7.5
Byron Scott,LAL,7.4
Dale Ellis,SEA,7.4
Dominique Wilkins*,ATL,7.0
Danny Ainge,BOS,6.7
Terry Porter,POR,6.5
Mark Aguirre,DAL,6.5
Otis Thorpe,SAC,6.2
Maurice Cheeks*,PHI,6.1
Derek Harper,DAL,6.1
Moses Malone*,WSB,5.7
Mark Price,CLE,5.6
Vern Fleming,IND,5.6
