Player,Tm,OWS
Magic Johnson*,LAL,12.1
Michael Jordan*,CHI,11.9
Kevin McHale*,BOS,10.8
Larry Bird*,BOS,10.4
Kiki Vandeweghe,POR,9.6
Dominique Wilkins*,ATL,8.4
Sleepy Floyd,GSW,8.3
Adrian Dantley*,DET,7.8
Charles Barkley*,PHI,7.7
Dale Ellis,SEA,7.6
Ricky Pierce,MIL,7.3
Larry Nance,PHO,7.3
Alex English*,DEN,7.0
Otis Thorpe,SAC,6.8
Derek Harper,DAL,6.8
Mark Aguirre,DAL,6.8
Clyde Drexler*,POR,6.6
James Donaldson,DAL,6.5
Rolando Blackman,DAL,6.5
Doc Rivers,ATL,6.4
