Player,Tm,OWS
Adrian Dantley*,UTA,11.9
Moses Malone*,HOU,11.7
Dan Issel*,DEN,9.0
Alex English*,DEN,8.9
Sidney Moncrief*,MIL,8.9
Julius Erving*,PHI,8.7
George Gervin*,SAS,8.7
Artis Gilmore*,CHI,8.3
Magic Johnson*,LAL,8.1
Kiki Vandeweghe,DEN,7.8
Calvin Natt,POR,7.0
Kareem Abdul-Jabbar*,LAL,6.9
Larry Bird*,BOS,6.8
Bernard King*,GSW,6.6
Jack Sikma*,SEA,5.9
Gus Williams,SEA,5.9
Cedric Maxwell,BOS,5.8
Jim Paxson,POR,5.6
World B. Free,GSW,5.6
Kelly Tripucka,DET,5.4
