Player,Tm,OWS
Adrian Dantley*,UTA,13.0
Kiki Vandeweghe,DEN,9.7
Bernard King*,NYK,8.6
Sidney Moncrief*,MIL,8.4
Rolando Blackman,DAL,8.3
Larry Bird*,BOS,7.9
Jim Paxson,POR,7.5
Bill Laimbeer,DET,7.3
Alex English*,DEN,7.2
Kevin McHale*,BOS,7.0
Mark Aguirre,DAL,7.0
Magic Johnson*,LAL,6.7
Calvin Natt,POR,6.3
Larry Nance,PHO,6.2
Kareem Abdul-Jabbar*,LAL,5.9
Robert Parish*,BOS,5.7
Terry Cummings,SDC,5.7
Isiah Thomas*,DET,5.7
Julius Erving*,PHI,5.6
Bill Cartwright,NYK,5.6
