Player,Tm,OWS
Michael Jordan*,CHI,14.6
Charles Barkley*,PHI,13.2
Magic Johnson*,LAL,12.1
John Stockton*,UTA,9.8
Dale Ellis,SEA,9.2
Clyde Drexler*,POR,8.8
Kevin Johnson,PHO,8.6
Karl Malone*,UTA,8.6
Kevin McHale*,BOS,8.1
Mark Price,CLE,8.0
Dominique Wilkins*,ATL,7.5
Chris Mullin*,GSW,7.5
Robert Parish*,BOS,6.9
Moses Malone*,ATL,6.8
James Worthy*,LAL,6.6
Terry Porter,POR,6.5
Patrick Ewing*,NYK,6.2
A.C. Green,LAL,5.8
Larry Nance,CLE,5.7
Adrian Dantley*,TOT,5.5
