Player,Tm,OWS
Kiki Vandeweghe,DEN,10.5
Sidney Moncrief*,MIL,9.7
Moses Malone*,PHI,9.1
Magic Johnson*,LAL,8.8
Alex English*,DEN,8.7
Larry Bird*,BOS,8.4
Kareem Abdul-Jabbar*,LAL,8.0
Jim Paxson,POR,7.8
George Gervin*,SAS,7.6
Artis Gilmore*,SAS,7.5
Calvin Natt,POR,7.1
Dan Issel*,DEN,6.8
Brad Davis,DAL,6.8
Julius Erving*,PHI,6.8
Marques Johnson,MIL,6.6
Terry Cummings,SDC,6.5
Robert Parish*,BOS,6.2
Jamaal Wilkes*,LAL,6.1
Vinnie Johnson,DET,5.9
Mark Aguirre,DAL,5.9
