Player,Tm,VORP
Larry Bird*,BOS,7.3
Magic Johnson*,LAL,5.6
Julius Erving*,PHI,5.3
Isiah Thomas*,DET,5.1
Adrian Dantley*,UTA,4.7
Sidney Moncrief*,MIL,4.7
Bernard King*,NYK,4.3
Mark Aguirre,DAL,4.1
Kiki Vandeweghe,DEN,3.9
Alex English*,DEN,3.9
Larry Nance,PHO,3.8
Marques Johnson,MIL,3.8
Jack Sikma*,SEA,3.7
Jeff Ruland,WSB,3.6
Rickey Green,UTA,3.5
Gus Williams,SEA,3.4
Kareem Abdul-Jabbar*,LAL,3.3
Rolando Blackman,DAL,3.3
Mychal Thompson,POR,3.1
Jim Paxson,POR,2.9
