,PTS,TRB,AST,STL,BLK,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PTS,1.0,0.38870515889090956,0.3241601911904384,0.45990620031081814,0.15622713127099258,0.8583873255175785,0.4245903616411794,0.7761704872011493,0.7467376018202083,0.4746398767746817,0.7476657208942783,0.5838437340284245,0.7950978408764618,-0.08775784262112586,0.638049082538292,0.7277610355092434
TRB,0.38870515889090956,1.0,-0.22180730868166354,0.0021051122876083223,0.5928392541726472,0.40853689683429595,0.3953537768554742,0.04580235109313695,0.3567076572414317,0.6852314736494058,0.5237560484712811,0.44239345303176747,0.25033237554111476,0.1723659499430246,0.2908127770555046,0.35178029947914796
AST,0.3241601911904384,-0.22180730868166354,1.0,0.6768229579872203,-0.2960238122327133,0.4307494848267104,0.11986810154358825,0.1757237041973723,0.3956508249404174,0.1609135301618175,0.3637532773965747,0.2964404213745847,0.5580868159609447,0.17279112986583972,0.5495409215932368,0.5333120942344892
STL,0.45990620031081814,0.0021051122876083223,0.6768229579872203,1.0,-0.10284810034245098,0.5534998401580832,0.08646819165611169,0.33437066300907214,0.37568806916555747,0.4259779301517317,0.444614198360415,0.3553845344383593,0.5453219111447415,0.42012867161135364,0.6485993786239511,0.6502991663293185
BLK,0.15622713127099258,0.5928392541726472,-0.2960238122327133,-0.10284810034245098,1.0,0.1892759696425023,0.1421812817997691,-0.07252190442279402,0.11125104637912535,0.5376692444705062,0.2816228900615657,0.2284713482926755,-0.003806556407086598,0.4650818286304524,0.2011756880653296,0.23282867591649883
PER,0.8583873255175785,0.40853689683429595,0.4307494848267104,0.5534998401580832,0.1892759696425023,1.0,0.5719934935768954,0.6294438566641909,0.8300845219707507,0.56072314650523,0.8430707017155342,0.8166392230660322,0.9259465881685515,0.17066659425885009,0.8644451857233657,0.8733844901973421
TS%,0.4245903616411794,0.3953537768554742,0.11986810154358825,0.08646819165611169,0.1421812817997691,0.5719934935768954,1.0,0.021141716330064723,0.6988919039040962,0.3566766131395412,0.6675458007153107,0.7576182663434314,0.6049681187971714,0.12420295105977532,0.5698085043361064,0.5195283128247234
USG%,0.7761704872011493,0.04580235109313695,0.1757237041973723,0.33437066300907214,-0.07252190442279402,0.6294438566641909,0.021141716330064723,1.0,0.31957782246713845,0.11908605398945811,0.2888836459103151,0.16459162344366846,0.5014002440662179,-0.3124711976703572,0.2893493287624595,0.3745088651537904
OWS,0.7467376018202083,0.3567076572414317,0.3956508249404174,0.37568806916555747,0.11125104637912535,0.8300845219707507,0.6988919039040962,0.31957782246713845,1.0,0.48890170930181603,0.9480270504820383,0.8756098538218103,0.8800972704669375,0.11701638718698189,0.8013656582157035,0.8653217820547506
DWS,0.4746398767746817,0.6852314736494058,0.1609135301618175,0.4259779301517317,0.5376692444705062,0.56072314650523,0.3566766131395412,0.11908605398945811,0.48890170930181603,1.0,0.7407649320049497,0.6414420429676803,0.4449430887837293,0.5873845643399436,0.6373427000589921,0.6676940363070593
WS,0.7476657208942783,0.5237560484712811,0.3637532773965747,0.444614198360415,0.2816228900615657,0.8430707017155342,0.6675458007153107,0.2888836459103151,0.9480270504820383,0.7407649320049497,1.0,0.9080581018921214,0.8396259467956091,0.304632811150126,0.8493631173207516,0.9094870825906672
WS/48,0.5838437340284245,0.44239345303176747,0.2964404213745847,0.3553845344383593,0.2284713482926755,0.8166392230660322,0.7576182663434314,0.16459162344366846,0.8756098538218103,0.6414420429676803,0.9080581018921214,1.0,0.8242112418878779,0.38695298018411045,0.8733221157033588,0.8283953797491311
OBPM,0.7950978408764618,0.25033237554111476,0.5580868159609447,0.5453219111447415,-0.003806556407086598,0.9259465881685515,0.6049681187971714,0.5014002440662179,0.8800972704669375,0.4449430887837293,0.8396259467956091,0.8242112418878779,1.0,0.10818719822169685,0.8991892480045698,0.8804057308645945
DBPM,-0.08775784262112586,0.1723659499430246,0.17279112986583972,0.42012867161135364,0.4650818286304524,0.17066659425885009,0.12420295105977532,-0.3124711976703572,0.11701638718698189,0.5873845643399436,0.304632811150126,0.38695298018411045,0.10818719822169685,1.0,0.5318848182366268,0.43635174262834003
BPM,0.638049082538292,0.2908127770555046,0.5495409215932368,0.6485993786239511,0.2011756880653296,0.8644451857233657,0.5698085043361064,0.2893493287624595,0.8013656582157035,0.6373427000589921,0.8493631173207516,0.8733221157033588,0.8991892480045698,0.5318848182366268,1.0,0.9420011014128139
VORP,0.7277610355092434,0.35178029947914796,0.5333120942344892,0.6502991663293185,0.23282867591649883,0.8733844901973421,0.5195283128247234,0.3745088651537904,0.8653217820547506,0.6676940363070593,0.9094870825906672,0.8283953797491311,0.8804057308645945,0.43635174262834003,0.9420011014128139,1.0
