Player,Tm,VORP
Magic Johnson*,LAL,7.0
Julius Erving*,PHI,6.8
Larry Bird*,BOS,6.4
Moses Malone*,HOU,5.5
Gus Williams,SEA,5.2
Sidney Moncrief*,MIL,5.1
Adrian Dantley*,UTA,5.0
Kareem Abdul-Jabbar*,LAL,4.7
Jack Sikma*,SEA,4.5
Artis Gilmore*,CHI,4.4
Alex English*,DEN,4.4
George Gervin*,SAS,4.2
Ray Williams,NJN,3.9
Greg Ballard,WSB,3.9
Maurice Cheeks*,PHI,3.9
Robert Parish*,BOS,3.7
Micheal Ray Richardson,NYK,3.6
Mychal Thompson,POR,3.4
Alvan Adams,PHO,3.4
Bobby Jones*,PHI,3.3
