"Player","Seasons","Teams","PTS","TRB","AST","STL","BLK","PER","TS%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"Johnny Newman",3,1,12.9666666666667,2.33333333333333,1.7,1.16666666666667,0.233333333333333,13.3666666666667,0.558333333333333,20.5333333333333,3.1,1.8,4.76666666666667,0.108666666666667,-0.466666666666667,-0.166666666666667,-0.633333333333333,0.8
"Wayman Tisdale",5,3,17.2714285714286,7.22857142857143,1.42857142857143,0.628571428571429,0.557142857142857,16.7285714285714,0.560428571428571,23.5571428571429,2.82857142857143,1.94285714285714,4.75714285714286,0.110285714285714,0.271428571428571,-0.942857142857143,-0.685714285714286,0.685714285714286
"Tree Rollins",8,1,6.4,7.1125,0.65,0.525,2.7375,13.0875,0.56725,10.7375,1.5375,3.2375,4.75,0.1215,-1.4125,2.6,1.1875,1.55
"Kelly Tripucka",9,3,18.2555555555556,3.96666666666667,3.04444444444444,1.01111111111111,0.188888888888889,15.9666666666667,0.551777777777778,23.8444444444444,3.12222222222222,1.65555555555556,4.71111111111111,0.101444444444444,0.811111111111111,-0.733333333333333,0.1,1.2
"Mychal Thompson",10,4,13.9166666666667,7.25833333333333,2.25,0.733333333333333,1.11666666666667,15.225,0.536333333333333,20.6916666666667,2.09166666666667,2.5,4.60833333333333,0.0969166666666667,-0.216666666666667,-0.391666666666667,-0.633333333333333,1.08333333333333
"David Thompson*",3,2,18.7666666666667,3.23333333333333,2.63333333333333,0.633333333333333,0.566666666666667,17.7,0.562333333333333,26.5666666666667,3.9,0.733333333333333,4.6,0.105333333333333,1.73333333333333,-1.9,-0.2,1.1
"Darryl Dawkins",6,2,13.7666666666667,5.83333333333333,1.35,0.516666666666667,1.38333333333333,15.95,0.633,20.9833333333333,1.98333333333333,2.61666666666667,4.6,0.132333333333333,-1.11666666666667,0.816666666666667,-0.266666666666667,0.8
"John Drew",4,2,19.775,5.15,1.625,1.075,0.1,19.35,0.549,31.05,2.9,1.725,4.6,0.1235,1.375,-1.525,-0.15,0.85
"Walter Davis",10,2,18.28,2.39,4,1.14,0.1,17.94,0.5457,27.49,2.87,1.75,4.56,0.1077,1.51,-0.92,0.59,1.41
"Reggie King",4,2,9.9,6.6,1.75,0.9,0.35,13.025,0.55475,15.1,2.15,2.375,4.525,0.097,-0.325,-0.05,-0.35,0.95
"Reggie Theus",10,6,17.425,3.075,6.425,1.10833333333333,0.2,16.4666666666667,0.533583333333333,24.675,3.40833333333333,1.26666666666667,4.48333333333333,0.0871666666666667,1.425,-1.41666666666667,0.025,1.325
"Purvis Short",10,3,18.13,4.19,2.71,1.1,0.2,16.75,0.5228,25.08,3.26,1.31,4.48,0.1005,0.94,-0.94,0,1.11
"Rick Mahorn",9,3,8.7,7.7,1.21111111111111,0.677777777777778,1.21111111111111,11.7,0.538666666666667,14.2222222222222,0.877777777777778,3.53333333333333,4.45555555555556,0.0992222222222222,-2.34444444444444,1.43333333333333,-0.911111111111111,0.677777777777778
"Maurice Lucas",8,6,12.5625,8.1625,1.9875,0.6625,0.4875,15.1,0.529375,20.7,1.8875,2.5625,4.45,0.10675,-0.65,-0.35,-0.9875,0.625
"Mike Mitchell",8,3,20.06,5.57,1.34,0.7,0.48,15.83,0.5221,24.93,3.3,1.12,4.42,0.0823,0.48,-2.31,-1.82,0.26
"Jay Humphries",6,3,11.5285714285714,2.85714285714286,6.1,1.5,0.1,14.1428571428571,0.542714285714286,17.0428571428571,2.54285714285714,1.77142857142857,4.38571428571429,0.0924285714285714,-0.214285714285714,0.142857142857143,-0.0714285714285714,1.08571428571429
"Alton Lister",7,2,8.7,7.62857142857143,1.2,0.471428571428571,2.01428571428571,13.9142857142857,0.545142857142857,16.3714285714286,0.914285714285714,3.41428571428571,4.35714285714286,0.107428571428571,-2.05714285714286,1.45714285714286,-0.557142857142857,0.7
"Vinnie Johnson",10,3,12.2818181818182,3.10909090909091,3.31818181818182,0.881818181818182,0.263636363636364,15.6727272727273,0.517181818181818,22.1,2.58181818181818,1.72727272727273,4.35454545454545,0.105181818181818,1.02727272727273,-0.0363636363636363,1.00909090909091,1.48181818181818
"Mark Olberding",6,4,10.3333333333333,5.61666666666667,2.78333333333333,0.683333333333333,0.266666666666667,12.55,0.584666666666667,15.85,2.65,1.71666666666667,4.35,0.0951666666666667,-0.9,-0.05,-0.95,0.583333333333333
"Rod Higgins",6,2,10.4166666666667,4.05,1.88333333333333,0.666666666666667,0.516666666666667,14.0333333333333,0.570166666666667,16.5,3.28333333333333,1.25,4.35,0.109666666666667,0.583333333333333,-0.45,0.133333333333333,1.05
