Player,Tm,WS
Larry Bird*,BOS,15.8
Adrian Dantley*,UTA,12.8
Magic Johnson*,LAL,12.1
Sidney Moncrief*,MIL,11.7
Kevin McHale*,BOS,11.0
Kareem Abdul-Jabbar*,LAL,10.8
Charles Barkley*,PHI,10.8
Dominique Wilkins*,ATL,10.8
Maurice Cheeks*,PHI,10.6
Kiki Vandeweghe,POR,9.9
Alex English*,DEN,9.8
Paul Pressey,MIL,9.8
Hakeem Olajuwon*,HOU,9.5
James Worthy*,LAL,9.5
Bill Laimbeer,DET,9.2
Robert Parish*,BOS,9.2
Mike Gminski,NJN,9.2
Moses Malone*,PHI,8.9
Isiah Thomas*,DET,8.8
Alvin Robertson,SAS,8.6
