Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar*,C,34,LAL,76,35.2,23.9,8.7,3.0,0.8,2.7,3.0,0.579,,0.58,0.579,0.706,1981-1982,23.4,0.608,25.6,6.9,3.9,10.7,0.192,3.8,1.2,5.0,4.7
Alvan Adams,C,27,PHO,79,30.3,15.1,7.4,4.5,1.4,1.0,2.5,0.494,,0.494,0.494,0.781,1981-1982,18.6,0.529,22.8,2.5,4.7,7.2,0.144,1.4,2.2,3.6,3.4
Mark Aguirre,SF,22,DAL,51,28.8,18.7,4.9,3.2,0.7,0.4,2.6,0.465,0.352,0.475,0.48,0.68,1981-1982,17.3,0.514,29.8,1.0,0.8,1.9,0.061,2.3,-1.6,0.7,1.0
Tiny Archibald*,PG,33,BOS,68,31.9,12.6,1.7,8.0,0.8,0.0,2.6,0.472,0.375,0.475,0.477,0.747,1981-1982,14.3,0.542,17.9,3.4,1.8,5.2,0.115,1.4,-1.3,0.1,1.1
James Bailey,PF,24,TOT,77,19.1,8.6,5.1,0.8,0.5,1.1,1.8,0.517,,0.517,0.517,0.612,1981-1982,13.3,0.546,20.3,0.2,2.7,2.9,0.094,-3.0,1.0,-2.0,0.0
James Bailey,PF,24,NJN,67,19.2,8.9,5.1,0.8,0.6,1.1,1.8,0.523,,0.523,0.523,0.624,1981-1982,14.0,0.556,20.3,0.4,2.4,2.8,0.104,-2.7,1.1,-1.6,0.1
Greg Ballard,SF,27,WSB,79,37.3,18.8,8.0,3.2,1.7,0.3,1.5,0.475,0.409,0.476,0.479,0.83,1981-1982,17.9,0.519,22.0,4.1,5.3,9.4,0.154,1.5,1.7,3.2,3.9
Gene Banks,SF,22,SAS,80,21.3,9.6,5.1,1.8,0.7,0.2,1.3,0.477,0.0,0.483,0.477,0.684,1981-1982,14.7,0.515,19.9,1.9,1.6,3.5,0.099,0.0,-0.7,-0.7,0.6
Mike Bantom,SF,30,TOT,82,24.6,10.2,5.4,1.4,0.8,0.7,1.8,0.469,0.333,0.47,0.471,0.629,1981-1982,12.7,0.505,20.2,0.2,2.7,2.9,0.069,-2.0,-0.3,-2.3,-0.1
Mike Bantom,SF,30,IND,39,26.6,11.7,5.5,1.7,1.0,0.6,2.2,0.438,0.333,0.439,0.44,0.66,1981-1982,12.6,0.484,22.4,-0.3,1.4,1.0,0.048,-2.3,-0.2,-2.5,-0.1
