Player,Tm,PER
Larry Bird*,BOS,26.5
Michael Jordan*,CHI,25.8
Bernard King*,NYK,25.2
Magic Johnson*,LAL,23.2
Kareem Abdul-Jabbar*,LAL,22.9
Moses Malone*,PHI,22.5
Isiah Thomas*,DET,22.2
Terry Cummings,MIL,22.1
Adrian Dantley*,UTA,21.9
Calvin Natt,DEN,21.8
Alex English*,DEN,21.6
Mark Aguirre,DAL,21.3
Hakeem Olajuwon*,HOU,21.1
Dominique Wilkins*,ATL,20.9
Kevin McHale*,BOS,20.7
Larry Nance,PHO,20.6
Jack Sikma*,SEA,20.4
Artis Gilmore*,SAS,20.3
Sidney Moncrief*,MIL,20.1
Julius Erving*,PHI,20.0
