Player,Tm,WS
Kareem Abdul-Jabbar*,LAL,14.3
Julius Erving*,PHI,13.8
Moses Malone*,HOU,13.7
Adrian Dantley*,UTA,13.6
Artis Gilmore*,CHI,12.3
Marques Johnson,MIL,11.2
Cedric Maxwell,BOS,11.0
Robert Parish*,BOS,10.9
Larry Bird*,BOS,10.8
George Gervin*,SAS,10.5
Dan Issel*,DEN,10.5
Bill Cartwright,NYK,10.0
Sidney Moncrief*,MIL,9.9
Reggie Theus,CHI,9.2
Bobby Jones*,PHI,9.2
Bernard King*,GSW,9.1
Swen Nater,SDC,8.6
Jamaal Wilkes*,LAL,8.5
Maurice Cheeks*,PHI,8.5
Billy Knight,IND,8.4
