Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Maurice Cheeks*,PG,33,NYK,31,24.3,7.9,2.4,4.9,1.4,0.2,1.2,0.579,0.429,0.586,0.588,0.877,1989-1990,17.1,0.65,12.4,1.9,2.1,2.7,0.172,1.8,1.5,3.2,1.0
Lester Conner,PG,30,NJN,82,28.7,7.9,3.2,4.7,2.1,0.1,1.7,0.414,0.154,0.42,0.415,0.804,1989-1990,12.8,0.486,13.7,1.1,2.1,3.7,0.075,-2.2,1.7,-0.5,0.9
Michael Cooper,SG,33,LAL,80,23.1,6.4,2.8,2.7,0.8,0.5,1.1,0.387,0.318,0.42,0.438,0.883,1989-1990,9.6,0.482,14.4,0.7,2.1,2.7,0.07,-1.7,1.0,-0.7,0.6
Tyrone Corbin,SF,27,MIN,82,36.7,14.7,7.4,2.6,2.1,0.5,1.7,0.481,0.0,0.486,0.481,0.77,1989-1990,15.9,0.512,19.3,2.8,2.1,6.8,0.108,-0.1,1.0,0.9,2.2
Terry Cummings,PF,28,SAS,81,34.8,22.4,8.4,2.7,1.4,0.6,2.5,0.475,0.322,0.481,0.481,0.78,1989-1990,19.6,0.527,28.3,4.3,2.1,8.7,0.149,1.8,-0.1,1.7,2.7
Dell Curry,SG,25,CHH,67,27.8,16.0,2.5,2.4,1.5,0.4,1.5,0.466,0.354,0.485,0.492,0.923,1989-1990,15.9,0.517,26.0,0.4,2.1,1.8,0.048,0.5,0.4,0.9,1.4
Quintin Dailey,SG,29,SEA,30,16.4,8.2,1.7,1.1,0.4,0.0,1.1,0.404,0.2,0.409,0.406,0.788,1989-1990,10.0,0.459,25.8,-0.1,2.1,0.1,0.012,-3.6,-1.4,-5.0,-0.4
Adrian Dantley*,SF,34,DAL,45,28.9,14.7,3.8,1.8,0.4,0.2,1.7,0.477,,0.479,0.477,0.787,1989-1990,15.4,0.556,22.6,2.2,2.1,3.1,0.113,0.9,-1.4,-0.4,0.5
Brad Daugherty,C,24,CLE,41,35.1,16.8,9.1,3.2,0.7,0.5,2.7,0.479,,0.481,0.479,0.704,1989-1990,16.0,0.543,22.4,1.2,2.1,3.1,0.104,-0.6,-0.3,-0.8,0.4
Brad Davis,PG,34,DAL,73,17.7,6.4,1.3,3.3,0.6,0.1,1.2,0.49,0.337,0.552,0.538,0.77,1989-1990,13.7,0.575,16.8,1.8,2.1,2.9,0.109,-0.4,0.2,-0.1,0.6
Walter Davis,SG,35,DEN,69,23.7,17.5,2.6,2.2,0.9,0.1,1.5,0.481,0.13,0.497,0.484,0.912,1989-1990,18.3,0.533,29.6,2.1,2.1,3.6,0.105,1.4,-0.6,0.8,1.1
Johnny Dawkins,PG,26,PHI,81,35.4,14.3,3.0,7.4,1.5,0.1,2.6,0.489,0.333,0.501,0.501,0.861,1989-1990,16.0,0.549,18.8,4.2,2.1,6.4,0.107,1.3,-0.5,0.8,2.0
Vinny Del Negro,SG,23,SAC,76,24.4,9.7,2.6,3.3,0.8,0.1,1.5,0.462,0.313,0.47,0.47,0.871,1989-1990,12.6,0.52,19.1,1.0,2.1,2.2,0.057,-1.8,-0.3,-2.1,-0.1
Vlade Divac*,C,21,LAL,82,19.6,8.5,6.2,0.9,1.0,1.4,1.3,0.499,0.0,0.504,0.499,0.708,1989-1990,17.5,0.544,20.0,1.7,2.1,5.0,0.148,-1.0,1.7,0.7,1.1
James Donaldson,C,32,DAL,73,31.0,9.1,8.6,0.8,0.3,0.6,1.6,0.539,,0.539,0.539,0.7,1989-1990,12.2,0.581,13.4,1.7,2.1,4.5,0.094,-1.0,-0.4,-1.5,0.3
Sherman Douglas,PG,23,MIA,81,30.5,14.3,2.5,7.6,1.8,0.1,3.0,0.494,0.161,0.505,0.496,0.687,1989-1990,17.0,0.534,21.7,2.3,2.1,4.4,0.086,1.4,0.0,1.4,2.1
Larry Drew,PG,31,LAL,80,16.7,5.2,1.2,2.7,0.6,0.1,1.2,0.444,0.395,0.457,0.486,0.767,1989-1990,10.2,0.511,16.2,0.3,2.1,1.4,0.05,-1.6,-0.2,-1.8,0.1
Clyde Drexler*,SG,27,POR,73,36.8,23.3,6.9,5.9,2.0,0.7,2.6,0.494,0.283,0.512,0.505,0.774,1989-1990,22.2,0.551,25.5,7.3,2.1,11.6,0.208,5.2,2.1,7.3,6.3
Kevin Duckworth,C,25,POR,82,30.0,16.2,6.2,1.1,0.4,0.4,2.1,0.478,,0.478,0.478,0.74,1989-1990,13.3,0.517,23.2,1.8,2.1,4.8,0.093,-1.3,-1.0,-2.3,-0.2
Chris Dudley,PF,24,TOT,64,21.2,5.5,6.6,0.6,0.6,1.1,1.3,0.411,,0.411,0.411,0.319,1989-1990,9.5,0.402,16.0,-1.8,2.1,0.2,0.005,-4.7,-0.3,-5.0,-1.0
Chris Dudley,PF,24,CLE,37,18.5,5.0,5.5,0.5,0.5,1.1,1.3,0.389,,0.389,0.389,0.338,1989-1990,8.7,0.388,18.0,-1.2,2.1,-0.2,-0.013,-5.7,-0.4,-6.1,-0.7
Chris Dudley,PF,24,NJN,27,24.9,6.1,8.1,0.7,0.8,1.1,1.3,0.441,,0.441,0.441,0.305,1989-1990,10.3,0.419,14.0,-0.6,2.1,0.3,0.025,-3.7,-0.2,-3.9,-0.3
Joe Dumars*,SG,26,DET,75,34.4,17.8,2.8,4.9,0.8,0.0,1.9,0.48,0.4,0.485,0.491,0.9,1989-1990,17.2,0.555,22.5,5.8,2.1,8.7,0.162,1.9,0.3,2.2,2.7
Ledell Eackles,SG,23,WSB,78,21.7,13.5,2.2,2.3,0.6,0.1,1.8,0.439,0.322,0.447,0.449,0.75,1989-1990,14.3,0.496,29.1,0.2,2.1,1.0,0.029,-0.8,-2.4,-3.2,-0.5
Mark Eaton,C,33,UTA,82,27.8,4.8,7.3,0.5,0.4,2.5,0.9,0.527,,0.527,0.527,0.669,1989-1990,10.6,0.561,8.2,1.4,2.1,5.3,0.112,-1.7,2.1,0.4,1.4
Blue Edwards,SF,24,UTA,82,23.0,8.9,3.1,1.8,0.9,0.4,1.9,0.507,0.3,0.519,0.515,0.719,1989-1990,10.7,0.556,18.6,0.2,2.1,2.7,0.068,-3.0,0.7,-2.3,-0.1
James Edwards,C,34,DET,82,27.8,14.5,4.2,0.8,0.3,0.5,1.6,0.498,,0.499,0.498,0.749,1989-1990,13.3,0.549,22.9,2.7,2.1,5.6,0.117,-1.6,-0.2,-1.7,0.1
Kevin Edwards,SG,24,MIA,78,28.3,12.0,3.6,3.2,1.6,0.4,2.3,0.412,0.3,0.416,0.417,0.76,1989-1990,11.6,0.451,22.2,-2.0,2.1,0.3,0.005,-2.5,0.5,-2.1,0.0
Craig Ehlo,SG,28,CLE,81,35.7,13.6,5.4,4.6,1.6,0.3,2.0,0.464,0.419,0.48,0.519,0.681,1989-1990,14.5,0.539,17.7,3.3,2.1,6.5,0.108,0.3,0.8,1.1,2.3
Sean Elliott,SF,21,SAS,81,25.1,10.0,3.7,1.9,0.6,0.2,1.4,0.481,0.111,0.486,0.481,0.866,1989-1990,12.5,0.546,17.4,2.6,2.1,4.6,0.108,-0.4,-0.7,-1.1,0.4
Dale Ellis,SG,29,SEA,55,37.0,23.5,4.3,2.0,1.1,0.1,2.2,0.497,0.375,0.538,0.544,0.818,1989-1990,19.0,0.58,25.3,5.4,2.1,6.4,0.15,4.0,-1.5,2.5,2.3
Pervis Ellison,C,22,SAC,34,25.5,8.0,5.8,1.9,0.5,1.7,1.8,0.442,0.0,0.446,0.442,0.628,1989-1990,10.3,0.475,17.3,-0.5,2.1,0.4,0.021,-4.0,0.6,-3.4,-0.3
Alex English*,SF,36,DEN,80,27.6,17.9,3.6,2.8,0.6,0.3,1.2,0.491,0.4,0.491,0.492,0.88,1989-1990,17.9,0.522,26.0,3.3,2.1,5.1,0.11,2.5,-1.2,1.2,1.8
Patrick Ewing*,C,27,NYK,82,38.6,28.6,10.9,2.2,1.0,4.0,3.4,0.551,,0.552,0.551,0.775,1989-1990,25.8,0.599,29.4,8.3,2.1,13.5,0.205,3.7,1.8,5.5,6.0
Vern Fleming,PG,27,IND,82,35.1,14.3,3.9,7.4,1.1,0.1,2.5,0.508,0.353,0.514,0.515,0.782,1989-1990,16.3,0.561,18.9,5.6,2.1,6.7,0.112,1.9,-1.1,0.8,2.0
Sleepy Floyd,PG,29,HOU,82,32.1,12.2,2.4,7.3,1.1,0.1,2.5,0.451,0.38,0.48,0.506,0.806,1989-1990,14.2,0.552,17.1,3.4,2.1,6.3,0.115,0.8,-0.2,0.6,1.7
Tellis Frank,PF,24,MIA,77,22.9,9.5,5.0,1.1,0.7,0.4,1.7,0.458,,0.458,0.458,0.765,1989-1990,11.1,0.518,19.3,0.4,2.1,2.0,0.054,-3.2,-0.6,-3.9,-0.8
Winston Garland,PG,25,TOT,79,22.3,7.3,2.7,3.8,1.0,0.1,2.0,0.401,0.333,0.406,0.412,0.836,1989-1990,9.8,0.458,18.2,-1.4,2.1,-0.3,-0.008,-2.7,-0.7,-3.4,-0.6
Winston Garland,PG,25,GSW,51,17.5,5.3,2.2,3.1,0.9,0.1,1.6,0.375,0.1,0.385,0.377,0.841,1989-1990,9.1,0.428,17.8,-1.1,2.1,-0.7,-0.037,-3.0,-0.6,-3.6,-0.4
Winston Garland,PG,25,LAC,28,31.1,10.9,3.7,5.2,1.1,0.2,2.8,0.428,0.423,0.429,0.447,0.831,1989-1990,10.6,0.489,18.6,-0.3,2.1,0.4,0.021,-2.4,-0.9,-3.3,-0.3
Tom Garrick,SG,23,LAC,73,23.6,7.0,2.2,4.0,1.2,0.1,1.6,0.494,0.19,0.51,0.499,0.772,1989-1990,11.8,0.539,14.3,0.9,2.1,2.5,0.07,-2.0,0.7,-1.3,0.3
Derrick Gervin,PF,26,NJN,21,16.1,12.0,3.1,0.4,1.0,0.3,0.6,0.472,0.0,0.479,0.472,0.73,1989-1990,22.9,0.531,29.4,0.9,2.1,1.3,0.184,2.8,-0.2,2.7,0.4
Armen Gilliam,PF,25,TOT,76,31.9,16.7,7.9,1.3,0.9,0.7,2.4,0.515,,0.516,0.515,0.723,1989-1990,16.6,0.565,22.9,2.3,2.1,4.5,0.09,0.0,-1.0,-0.9,0.6
Armen Gilliam,PF,25,CHH,60,36.0,18.8,8.8,1.5,1.1,0.8,2.8,0.527,,0.529,0.527,0.727,1989-1990,16.9,0.576,22.6,2.1,2.1,4.1,0.09,0.2,-1.0,-0.7,0.7
Mike Gminski,C,30,PHI,81,32.8,13.7,8.5,1.6,0.5,1.3,1.2,0.457,0.176,0.462,0.459,0.821,1989-1990,15.7,0.503,19.2,3.1,2.1,6.0,0.108,0.7,-0.6,0.0,1.4
Gary Grant,PG,24,LAC,44,34.8,13.1,4.4,10.0,2.5,0.1,4.7,0.466,0.238,0.476,0.471,0.779,1989-1990,15.3,0.507,21.1,-0.6,2.1,1.3,0.039,0.3,0.5,0.8,1.1
Harvey Grant,PF,24,WSB,81,22.8,8.2,4.2,1.6,0.6,0.5,1.0,0.473,0.0,0.479,0.473,0.701,1989-1990,12.0,0.502,16.5,1.1,2.1,2.6,0.067,-1.6,-0.5,-2.2,-0.1
Horace Grant,PF,24,CHI,80,34.4,13.4,7.9,2.8,1.2,1.1,1.4,0.523,,0.523,0.523,0.699,1989-1990,16.6,0.555,16.7,5.3,2.1,8.0,0.14,1.3,-0.2,1.1,2.1
Jeff Grayer,SF,24,MIL,71,20.1,7.7,3.1,1.5,0.7,0.1,1.2,0.46,0.125,0.466,0.461,0.651,1989-1990,11.4,0.495,18.7,0.4,2.1,1.5,0.05,-1.6,-1.1,-2.7,-0.3
A.C. Green,PF,26,LAL,82,33.0,12.9,8.7,1.1,0.8,0.6,1.4,0.478,0.283,0.489,0.486,0.751,1989-1990,14.7,0.548,17.1,4.4,2.1,7.7,0.137,0.3,-0.9,-0.6,1.0
Sidney Green,C,29,ORL,73,25.5,10.4,8.1,1.4,0.7,0.4,1.6,0.468,,0.468,0.469,0.651,1989-1990,12.7,0.501,18.5,0.5,2.1,1.7,0.044,-2.2,-1.2,-3.4,-0.6
Darrell Griffith,SG,31,UTA,82,17.6,8.9,2.0,0.8,0.8,0.2,0.9,0.464,0.372,0.509,0.525,0.654,1989-1990,13.6,0.536,22.9,0.6,2.1,2.5,0.083,-0.4,0.3,-0.1,0.7
Jack Haley,PF,26,TOT,67,16.2,5.4,4.5,0.4,0.3,0.2,1.1,0.398,,0.399,0.398,0.68,1989-1990,8.5,0.449,17.6,-0.6,2.1,0.3,0.013,-5.1,-2.0,-7.1,-1.4
Jack Haley,PF,26,NJN,56,18.3,6.0,5.0,0.4,0.3,0.2,1.2,0.394,,0.396,0.394,0.661,1989-1990,8.2,0.443,17.4,-0.7,2.1,0.3,0.012,-5.2,-2.0,-7.2,-1.4
Bob Hansen,SG,29,UTA,81,26.8,7.6,2.8,1.8,0.6,0.1,1.0,0.467,0.351,0.51,0.514,0.516,1989-1990,8.5,0.517,13.5,0.9,2.1,2.8,0.062,-2.1,-0.1,-2.1,-0.1
Bill Hanzlik,PF,32,DEN,81,19.8,6.2,2.6,2.3,1.0,0.4,1.1,0.452,0.194,0.474,0.46,0.743,1989-1990,10.3,0.525,13.7,1.0,2.1,2.9,0.086,-2.6,1.5,-1.1,0.3
Tim Hardaway*,PG,23,GSW,79,33.7,14.7,3.9,8.7,2.1,0.2,3.3,0.471,0.274,0.489,0.483,0.764,1989-1990,16.0,0.525,20.5,1.9,2.1,3.3,0.06,0.6,-0.8,-0.2,1.2
Derek Harper,PG,28,DAL,82,36.7,18.0,3.0,7.4,2.3,0.3,2.5,0.488,0.371,0.519,0.527,0.794,1989-1990,19.8,0.567,22.0,6.3,2.1,9.9,0.158,3.3,1.4,4.7,5.0
Ron Harper,SG,26,TOT,35,39.1,22.8,5.9,5.2,2.3,1.2,2.9,0.473,0.275,0.49,0.484,0.788,1989-1990,20.2,0.54,25.8,2.2,2.1,3.9,0.138,2.8,1.9,4.6,2.3
Ron Harper,SG,26,LAC,28,39.5,23.0,5.6,4.8,2.4,1.1,2.9,0.481,0.283,0.501,0.494,0.795,1989-1990,20.0,0.553,25.1,1.8,2.1,3.2,0.138,2.8,2.0,4.7,1.9
Hersey Hawkins,SG,23,PHI,82,34.8,18.5,3.7,3.2,1.6,0.3,2.3,0.46,0.42,0.468,0.496,0.888,1989-1990,17.0,0.57,22.5,5.5,2.1,8.0,0.135,1.6,0.1,1.7,2.7
Rod Higgins,PF,30,GSW,82,24.3,11.1,5.1,1.6,0.6,0.6,1.1,0.481,0.347,0.54,0.534,0.821,1989-1990,15.5,0.6,17.0,4.1,2.1,5.0,0.121,1.9,-0.9,1.0,1.5
Roy Hinson,PF,28,NJN,25,31.7,15.0,6.9,0.9,0.6,1.1,2.1,0.507,,0.507,0.507,0.869,1989-1990,15.2,0.57,19.3,1.1,2.1,1.8,0.107,-0.3,-0.2,-0.4,0.3
Craig Hodges,SG,29,CHI,63,16.7,6.5,0.8,1.7,0.5,0.0,0.5,0.438,0.481,0.387,0.569,0.909,1989-1990,12.5,0.589,15.2,2.2,2.1,2.6,0.117,1.2,-1.2,0.0,0.5
Dennis Hopson,SG,24,NJN,79,32.3,15.8,3.5,1.9,1.3,0.6,2.1,0.434,0.317,0.446,0.448,0.792,1989-1990,13.6,0.503,22.2,1.3,2.1,3.1,0.059,-0.6,-0.4,-1.0,0.6
Jeff Hornacek,SG,26,PHO,67,34.0,17.6,4.7,5.0,1.7,0.2,1.9,0.536,0.408,0.552,0.558,0.856,1989-1990,19.6,0.596,20.2,5.8,2.1,8.7,0.182,3.1,1.5,4.6,3.8
Jay Humphries,PG,27,MIL,81,34.8,15.3,3.3,5.8,1.9,0.1,1.9,0.494,0.3,0.508,0.504,0.786,1989-1990,16.4,0.547,19.1,5.0,2.1,7.6,0.13,0.6,0.7,1.4,2.4
Mark Jackson,PG,24,NYK,82,29.6,9.9,3.9,7.4,1.3,0.0,2.6,0.437,0.267,0.472,0.46,0.727,1989-1990,14.3,0.492,17.7,1.6,2.1,3.7,0.074,0.9,-0.5,0.4,1.5
Buck Johnson,SF,26,HOU,82,34.5,14.8,4.6,3.1,1.3,0.8,2.0,0.495,0.118,0.501,0.496,0.759,1989-1990,12.9,0.534,18.7,2.2,2.1,6.2,0.104,-1.6,1.0,-0.6,1.0
