,PTS,TRB,AST,STL,BLK,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PTS,1.0,0.41529465960537426,0.3336898977190778,0.3806964790948877,0.13409442774198208,0.8457716342823484,0.32584365731824927,0.7709954727126386,0.718792053610641,0.4102954527344797,0.7278199988999383,0.5426342976402159,0.7630328544829513,-0.18901238612850318,0.582447660583524,0.6587343983702076
TRB,0.41529465960537426,1.0,-0.20047021602458312,0.028044940120354692,0.6007233042835677,0.3723182065492601,0.3000897815053765,0.08289348954601214,0.253000665247589,0.6442784679164073,0.4621978583121397,0.3467102985008806,0.17562333480934736,0.20905331400900745,0.2641002812973478,0.31574418033321233
AST,0.3336898977190778,-0.20047021602458312,1.0,0.6916890902978803,-0.2674710575081113,0.4463639282678131,0.07194959902257851,0.19635760412412392,0.3937835132398527,0.14841972584934499,0.36882365290799835,0.284954047586699,0.5858724762071867,0.09976622657854708,0.573693179634731,0.5670384176894886
STL,0.3806964790948877,0.028044940120354692,0.6916890902978803,1.0,-0.1270895318439378,0.4670002771460986,0.008024069033188749,0.21212593254142004,0.32283076835263974,0.39838389497346405,0.4171099141455145,0.30517520861388625,0.4551963480769175,0.3821478992494698,0.6028885295775697,0.6088387203775866
BLK,0.13409442774198208,0.6007233042835677,-0.2674710575081113,-0.1270895318439378,1.0,0.16844263198750442,0.15183990366193562,-0.11502244819347711,0.043276896788263734,0.5032910176490001,0.24261884451911164,0.19609594497748417,-0.03668365655642663,0.46704684483539405,0.2095935245899022,0.2108192649232816
PER,0.8457716342823484,0.3723182065492601,0.4463639282678131,0.4670002771460986,0.16844263198750442,1.0,0.5101437404112127,0.657860155471992,0.791968623699398,0.4466677394267218,0.8012291061843447,0.7893613176998853,0.9141457502385204,0.028550438438828887,0.830278379156613,0.8083401403497532
TS%,0.32584365731824927,0.3000897815053765,0.07194959902257851,0.008024069033188749,0.15183990366193562,0.5101437404112127,1.0,-0.010764165632797633,0.6389225566108591,0.21535236415774764,0.5855070425699479,0.6984851320497913,0.5099803197797592,0.12233123769011153,0.5189976793756097,0.4561826435153595
USG%,0.7709954727126386,0.08289348954601214,0.19635760412412392,0.21212593254142004,-0.11502244819347711,0.657860155471992,-0.010764165632797633,1.0,0.3207460657773231,0.08694103395850877,0.285433956187346,0.1882634655998734,0.5340013103779544,-0.4254474868723725,0.25506966870343667,0.3018291374412134
OWS,0.718792053610641,0.253000665247589,0.3937835132398527,0.32283076835263974,0.043276896788263734,0.791968623699398,0.6389225566108591,0.3207460657773231,1.0,0.34782326314744805,0.9210817899075372,0.8372011541840864,0.8543144909059891,-0.027458963787696748,0.7487032873992847,0.8160431043603628
DWS,0.4102954527344797,0.6442784679164073,0.14841972584934499,0.39838389497346405,0.5032910176490001,0.4466677394267218,0.21535236415774764,0.08694103395850877,0.34782326314744805,1.0,0.6850491453058662,0.5341552264371666,0.3009603006958555,0.5774945064340232,0.5660534359483254,0.6326150042613534
WS,0.7278199988999383,0.4621978583121397,0.36882365290799835,0.4171099141455145,0.24261884451911164,0.8012291061843447,0.5855070425699479,0.285433956187346,0.9210817899075372,0.6850491453058662,1.0,0.8727673056141091,0.788936509912582,0.21972606037533604,0.8175956628581784,0.8971316315033038
WS/48,0.5426342976402159,0.3467102985008806,0.284954047586699,0.30517520861388625,0.19609594497748417,0.7893613176998853,0.6984851320497913,0.1882634655998734,0.8372011541840864,0.5341552264371666,0.8727673056141091,1.0,0.7714488290613856,0.30562159466336825,0.8471811531133137,0.7972138279784268
OBPM,0.7630328544829513,0.17562333480934736,0.5858724762071867,0.4551963480769175,-0.03668365655642663,0.9141457502385204,0.5099803197797592,0.5340013103779544,0.8543144909059891,0.3009603006958555,0.788936509912582,0.7714488290613856,1.0,-0.07094243275723248,0.8557588555589327,0.8307163796316018
DBPM,-0.18901238612850318,0.20905331400900745,0.09976622657854708,0.3821478992494698,0.46704684483539405,0.028550438438828887,0.12233123769011153,-0.4254474868723725,-0.027458963787696748,0.5774945064340232,0.21972606037533604,0.30562159466336825,-0.07094243275723248,1.0,0.45495834540984564,0.3754646567160399
BPM,0.582447660583524,0.2641002812973478,0.573693179634731,0.6028885295775697,0.2095935245899022,0.830278379156613,0.5189976793756097,0.25506966870343667,0.7487032873992847,0.5660534359483254,0.8175956628581784,0.8471811531133137,0.8557588555589327,0.45495834540984564,1.0,0.9359396293522889
VORP,0.6587343983702076,0.31574418033321233,0.5670384176894886,0.6088387203775866,0.2108192649232816,0.8083401403497532,0.4561826435153595,0.3018291374412134,0.8160431043603628,0.6326150042613534,0.8971316315033038,0.7972138279784268,0.8307163796316018,0.3754646567160399,0.9359396293522889,1.0
