Player,Tm,BPM
Michael Jordan*,CHI,11.2
Magic Johnson*,LAL,10.1
John Stockton*,UTA,8.9
Charles Barkley*,PHI,8.2
Clyde Drexler*,POR,7.3
David Robinson*,SAS,6.9
Karl Malone*,UTA,6.4
Terry Porter,POR,5.8
Hakeem Olajuwon*,HOU,5.8
Patrick Ewing*,NYK,5.5
Dominique Wilkins*,ATL,5.4
Larry Bird*,BOS,5.3
Mark Price,CLE,5.2
Kevin Johnson,PHO,5.0
Chris Mullin*,GSW,5.0
Fat Lever,DEN,4.9
Ron Harper,LAC,4.7
Derek Harper,DAL,4.7
Jeff Hornacek,PHO,4.6
Ron Harper,TOT,4.6
