,PTS,TRB,AST,STL,BLK,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PTS,1.0,0.4180756824459076,0.3630332648087275,0.5084448368985357,0.06429996013769457,0.8380594885200825,0.4587321658719336,0.7893494767678134,0.7249640505627284,0.49107600780715854,0.7189664778447017,0.5600729449478408,0.769647022622778,-0.0881496639579179,0.6104372856589617,0.6659009329309952
TRB,0.4180756824459076,1.0,-0.14872249338470386,0.14463278467244714,0.6072508483354159,0.42941904400762576,0.35202154385559964,0.08328544374912125,0.35924088644628444,0.6487177901721151,0.5040380466055338,0.4151482482883795,0.25664905806681426,0.23913905400221672,0.31148712259005384,0.36106844806450067
AST,0.3630332648087275,-0.14872249338470386,1.0,0.710511566149931,-0.3028507998941116,0.44676315860266047,0.12420737928191421,0.15889334597075563,0.45376001518405945,0.25228076121490317,0.42931863123908515,0.29640210603753847,0.5639259214225183,0.20372765286103106,0.5616177969653003,0.588835220003146
STL,0.5084448368985357,0.14463278467244714,0.710511566149931,1.0,-0.09174864057693417,0.5810418759710172,0.1899383537023924,0.26520211948297523,0.49483698897450257,0.520274296337939,0.5572207881177627,0.41166948823012656,0.5870049708299945,0.4157734825879331,0.6656263222749539,0.6927530443614325
BLK,0.06429996013769457,0.6072508483354159,-0.3028507998941116,-0.09174864057693417,1.0,0.12684860471927917,0.10434667070926557,-0.14136699650162027,0.04580595675018728,0.4811033194143573,0.2109259641509778,0.1821091008417826,-0.0585324847216987,0.4595694410814584,0.13589418440854525,0.1472477334559049
PER,0.8380594885200825,0.42941904400762576,0.44676315860266047,0.5810418759710172,0.12684860471927917,1.0,0.6536513500211906,0.6116327560672233,0.8622456620657122,0.57478917205652,0.8516284927415758,0.8251451276479527,0.9254959465162915,0.20877204506795347,0.8650065902996887,0.8538378116588197
TS%,0.4587321658719336,0.35202154385559964,0.12420737928191421,0.1899383537023924,0.10434667070926557,0.6536513500211906,1.0,0.1344775312804779,0.7119503336879714,0.3913468286518101,0.6724829478636503,0.8083690042361186,0.6619746679255999,0.21210593337321682,0.6435534539813351,0.5653543060997219
USG%,0.7893494767678134,0.08328544374912125,0.15889334597075563,0.26520211948297523,-0.14136699650162027,0.6116327560672233,0.1344775312804779,1.0,0.353998468082734,0.13983930530858377,0.31447308995798096,0.18682762104431455,0.4818462608656721,-0.3677186513294958,0.2535724463611398,0.31298847492028775
OWS,0.7249640505627284,0.35924088644628444,0.45376001518405945,0.49483698897450257,0.04580595675018728,0.8622456620657122,0.7119503336879714,0.353998468082734,1.0,0.5721355260086681,0.9538614777256517,0.8850621386093066,0.8870915629897221,0.24176446402473645,0.8473731321663152,0.9002818702948668
DWS,0.49107600780715854,0.6487177901721151,0.25228076121490317,0.520274296337939,0.4811033194143573,0.57478917205652,0.3913468286518101,0.13983930530858377,0.5721355260086681,1.0,0.7916386920999113,0.6400574376939243,0.4705018990437292,0.5887311506764039,0.6357464970180742,0.7053534224372612
WS,0.7189664778447017,0.5040380466055338,0.42931863123908515,0.5572207881177627,0.2109259641509778,0.8516284927415758,0.6724829478636503,0.31447308995798096,0.9538614777256517,0.7916386920999113,1.0,0.8930813847451244,0.8319458940723657,0.39487379347534923,0.8627243265108926,0.9278372536835034
WS/48,0.5600729449478408,0.4151482482883795,0.29640210603753847,0.41166948823012656,0.1821091008417826,0.8251451276479527,0.8083690042361186,0.18682762104431455,0.8850621386093066,0.6400574376939243,0.8930813847451244,1.0,0.8264725128338737,0.45920589413632457,0.8849563617217981,0.8334223242539662
OBPM,0.769647022622778,0.25664905806681426,0.5639259214225183,0.5870049708299945,-0.0585324847216987,0.9254959465162915,0.6619746679255999,0.4818462608656721,0.8870915629897221,0.4705018990437292,0.8319458940723657,0.8264725128338737,1.0,0.17439192905511242,0.9146082608005233,0.8672249002461576
DBPM,-0.0881496639579179,0.23913905400221672,0.20372765286103106,0.4157734825879331,0.4595694410814584,0.20877204506795347,0.21210593337321682,-0.3677186513294958,0.24176446402473645,0.5887311506764039,0.39487379347534923,0.45920589413632457,0.17439192905511242,1.0,0.5571694506748035,0.5092612392133735
BPM,0.6104372856589617,0.31148712259005384,0.5616177969653003,0.6656263222749539,0.13589418440854525,0.8650065902996887,0.6435534539813351,0.2535724463611398,0.8473731321663152,0.6357464970180742,0.8627243265108926,0.8849563617217981,0.9146082608005233,0.5571694506748035,1.0,0.9402671697211473
VORP,0.6659009329309952,0.36106844806450067,0.588835220003146,0.6927530443614325,0.1472477334559049,0.8538378116588197,0.5653543060997219,0.31298847492028775,0.9002818702948668,0.7053534224372612,0.9278372536835034,0.8334223242539662,0.8672249002461576,0.5092612392133735,0.9402671697211473,1.0
