Player,Tm,VORP
Larry Bird*,BOS,8.4
Magic Johnson*,LAL,5.7
Paul Pressey,MIL,5.3
Charles Barkley*,PHI,5.3
Kareem Abdul-Jabbar*,LAL,4.9
Isiah Thomas*,DET,4.9
Alvin Robertson,SAS,4.9
Adrian Dantley*,UTA,4.8
Dominique Wilkins*,ATL,4.8
Maurice Cheeks*,PHI,4.6
Sidney Moncrief*,MIL,4.5
Clyde Drexler*,POR,4.1
Sleepy Floyd,GSW,3.9
Kevin McHale*,BOS,3.9
Hakeem Olajuwon*,HOU,3.8
Alex English*,DEN,3.7
Larry Nance,PHO,3.7
James Worthy*,LAL,3.6
Jack Sikma*,SEA,3.1
Mike Gminski,NJN,2.9
