Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar*,C,35,LAL,79,32.3,21.8,7.5,2.5,0.8,2.2,2.5,0.588,,0.589,0.588,0.749,1982-1983,23.6,0.619,24.6,8.0,2.9,10.9,0.205,4.0,0.5,4.5,4.2
Alvan Adams,C,28,PHO,80,30.6,14.2,6.9,4.7,1.4,0.9,3.0,0.486,,0.487,0.487,0.829,1982-1983,16.8,0.527,22.0,2.0,4.5,6.5,0.128,0.8,1.7,2.5,2.8
Mark Aguirre,SF,23,DAL,81,34.4,24.4,6.3,4.1,1.0,0.3,3.2,0.483,0.211,0.496,0.488,0.728,1982-1983,20.5,0.535,30.0,5.9,1.0,6.9,0.118,3.6,-1.9,1.7,2.6
Danny Ainge,SG,23,BOS,80,25.6,9.9,2.7,3.1,1.4,0.1,1.2,0.496,0.172,0.509,0.499,0.742,1982-1983,13.2,0.519,16.5,2.8,2.4,5.2,0.121,-1.0,1.2,0.2,1.2
J.J. Anderson,SF,22,TOT,65,18.5,7.4,4.5,1.0,1.0,0.3,1.2,0.501,0.0,0.507,0.501,0.571,1982-1983,13.7,0.526,17.4,0.9,1.4,2.3,0.094,-1.0,0.0,-0.9,0.3
J.J. Anderson,SF,22,UTA,52,22.2,8.9,5.4,1.3,1.2,0.4,1.4,0.51,0.0,0.514,0.51,0.576,1982-1983,14.2,0.535,17.2,1.0,1.4,2.4,0.101,-0.8,0.1,-0.7,0.4
Richard Anderson,C,22,SDC,78,16.3,5.2,3.5,1.5,0.7,0.3,1.2,0.404,0.368,0.405,0.412,0.696,1982-1983,10.4,0.437,16.9,-0.3,0.8,0.5,0.017,-2.1,-0.5,-2.6,-0.2
Tiny Archibald*,PG,34,BOS,66,27.4,10.5,1.4,6.2,0.6,0.1,2.5,0.425,0.208,0.435,0.429,0.743,1982-1983,12.3,0.509,18.3,1.7,1.2,2.9,0.077,0.0,-2.0,-2.0,0.0
James Bailey,PF,25,TOT,75,23.5,13.3,6.3,0.9,0.6,0.8,2.6,0.497,,0.498,0.497,0.702,1982-1983,15.6,0.544,25.2,0.6,1.4,2.0,0.055,-1.4,-1.2,-2.6,-0.3
James Bailey,PF,25,HOU,69,24.9,14.1,6.8,0.9,0.6,0.9,2.8,0.497,,0.498,0.497,0.7,1982-1983,16.0,0.544,25.3,0.6,1.4,2.0,0.056,-1.3,-1.2,-2.6,-0.2
Greg Ballard,SF,28,WSB,78,36.4,18.0,6.5,3.4,1.7,0.3,2.0,0.473,0.351,0.477,0.478,0.781,1982-1983,16.8,0.509,22.4,2.8,5.1,7.9,0.133,0.8,1.7,2.5,3.2
Gene Banks,PF,23,SAS,81,33.6,14.9,7.6,3.4,1.0,0.3,2.1,0.55,0.0,0.553,0.55,0.705,1982-1983,16.7,0.579,17.7,5.9,2.0,7.9,0.14,2.2,-0.5,1.7,2.5
Kent Benson,C,28,DET,21,28.5,9.9,7.4,2.3,0.7,0.8,1.7,0.467,,0.47,0.467,0.76,1982-1983,13.2,0.51,15.4,0.6,0.6,1.1,0.092,-0.5,-0.1,-0.6,0.2
Larry Bird*,PF,26,BOS,79,37.7,23.6,11.0,5.8,1.9,0.9,3.0,0.504,0.286,0.516,0.512,0.84,1982-1983,24.1,0.561,25.0,8.4,5.6,14.0,0.225,5.4,2.1,7.5,7.2
Otis Birdsong,SG,27,NJN,62,30.4,15.1,2.4,3.9,1.4,0.3,1.8,0.511,0.333,0.512,0.512,0.566,1982-1983,15.1,0.521,21.1,2.6,2.6,5.2,0.132,0.4,0.6,1.0,1.4
Rolando Blackman,SG,23,DAL,75,31.3,17.7,3.9,2.5,0.5,0.4,1.6,0.492,0.2,0.497,0.494,0.78,1982-1983,17.0,0.548,22.3,5.5,0.1,5.7,0.116,2.5,-2.1,0.4,1.4
Ron Brewer,SG,27,TOT,74,26.5,11.3,1.9,1.3,1.2,0.3,1.3,0.426,0.389,0.427,0.431,0.835,1982-1983,11.5,0.475,20.0,0.6,0.9,1.6,0.038,-1.7,-0.6,-2.3,-0.2
Ron Brewer,SG,27,CLE,21,26.8,11.4,1.8,1.3,1.0,0.3,1.2,0.4,0.0,0.405,0.4,0.863,1982-1983,10.8,0.449,21.8,-0.1,0.3,0.2,0.02,-2.4,-0.7,-3.1,-0.2
Ron Brewer,SG,27,GSW,53,26.4,11.3,2.0,1.3,1.3,0.4,1.4,0.438,0.467,0.437,0.444,0.824,1982-1983,11.8,0.486,19.2,0.7,0.6,1.3,0.045,-1.4,-0.6,-2.0,0.0
Junior Bridgeman,SF,29,MIL,70,26.5,14.4,3.5,3.0,0.6,0.1,1.7,0.492,0.077,0.498,0.492,0.837,1982-1983,16.1,0.534,23.7,2.7,2.1,4.8,0.125,0.8,-0.7,0.1,1.0
Michael Brooks,SF,24,SDC,82,30.0,12.2,6.4,3.2,1.4,0.5,2.2,0.484,0.333,0.487,0.487,0.697,1982-1983,15.2,0.526,17.9,3.4,1.3,4.7,0.091,0.9,-0.5,0.4,1.5
Fred Brown,PG,34,SEA,80,17.9,10.2,1.2,3.0,0.7,0.2,1.4,0.52,0.438,0.523,0.529,0.806,1982-1983,17.7,0.546,23.9,2.3,1.3,3.6,0.12,2.0,-0.4,1.6,1.3
Joe Bryant,SF,28,HOU,81,25.4,10.0,3.4,2.3,1.0,0.4,2.2,0.448,0.222,0.459,0.453,0.703,1982-1983,10.4,0.483,19.8,-1.2,1.1,0.0,-0.001,-3.0,-0.5,-3.5,-0.8
Quinn Buckner,SG,28,BOS,72,21.7,7.9,2.6,3.8,1.5,0.1,2.2,0.442,0.0,0.445,0.442,0.632,1982-1983,11.5,0.465,19.3,-0.7,2.2,1.6,0.048,-2.6,1.1,-1.4,0.2
Don Buse,PG,32,POR,41,15.7,4.7,1.3,2.8,1.1,0.0,0.6,0.396,0.257,0.429,0.42,0.891,1982-1983,13.8,0.48,14.4,0.9,0.7,1.7,0.124,-0.2,1.7,1.5,0.6
Marty Byrnes,SF,26,IND,80,18.0,4.9,2.4,2.2,0.5,0.1,0.9,0.42,0.231,0.434,0.428,0.747,1982-1983,9.6,0.47,13.4,0.8,0.2,1.0,0.034,-1.8,-1.1,-2.9,-0.3
Kenny Carr,PF,27,POR,82,28.4,12.0,7.2,1.4,0.8,0.5,2.3,0.505,0.333,0.506,0.506,0.697,1982-1983,13.7,0.559,18.5,2.3,2.8,5.1,0.106,-1.0,-0.4,-1.5,0.3
Joe Barry Carroll,C,24,GSW,79,37.8,24.1,8.7,2.1,1.4,2.0,3.6,0.513,,0.514,0.513,0.719,1982-1983,20.1,0.549,26.5,4.3,2.8,7.0,0.113,1.9,-0.4,1.5,2.6
Butch Carter,SG,24,IND,81,21.2,10.5,1.9,2.4,1.0,0.2,1.5,0.501,0.333,0.515,0.513,0.805,1982-1983,14.9,0.549,20.4,2.6,0.5,3.0,0.085,-0.1,-0.9,-1.0,0.4
Bill Cartwright,C,25,NYK,82,30.1,15.7,7.2,1.7,0.5,1.5,2.5,0.566,,0.566,0.566,0.744,1982-1983,19.0,0.627,21.3,5.7,4.4,10.1,0.197,1.3,1.5,2.8,3.0
Harvey Catchings,C,31,MIL,74,21.0,3.3,5.5,1.0,0.4,2.0,1.1,0.457,,0.457,0.457,0.674,1982-1983,9.8,0.51,8.5,0.3,2.8,3.1,0.096,-2.6,2.7,0.1,0.8
Tom Chambers,PF,23,SDC,79,33.7,17.6,6.6,2.4,1.0,0.7,3.0,0.472,0.0,0.476,0.472,0.723,1982-1983,15.1,0.529,22.6,3.3,1.0,4.3,0.077,0.0,-1.6,-1.6,0.2
Maurice Cheeks*,PG,26,PHI,79,31.2,12.5,2.6,6.9,2.3,0.4,2.3,0.542,0.167,0.545,0.543,0.754,1982-1983,18.6,0.582,16.6,5.6,3.8,9.4,0.183,2.4,2.3,4.7,4.2
