Player,Tm,DWS
Larry Bird*,BOS,6.1
Julius Erving*,PHI,6.1
Caldwell Jones,PHI,5.4
Truck Robinson,PHO,5.3
Robert Parish*,BOS,4.9
Elvin Hayes*,WSB,4.9
Micheal Ray Richardson,NYK,4.7
Kareem Abdul-Jabbar*,LAL,4.6
Alvan Adams,PHO,4.5
Jack Sikma*,SEA,4.5
Maurice Cheeks*,PHI,4.5
Dennis Johnson*,PHO,4.4
Moses Malone*,HOU,4.2
Greg Ballard,WSB,4.1
Darryl Dawkins,PHI,4.1
Quinn Buckner,MIL,4.0
Reggie King,KCK,3.9
Artis Gilmore*,CHI,3.9
Bobby Jones*,PHI,3.9
Terry Tyler,DET,3.9
