Player,Tm,PER
Larry Bird*,BOS,25.6
Adrian Dantley*,UTA,24.6
Hakeem Olajuwon*,HOU,24.2
Magic Johnson*,LAL,24.0
Dominique Wilkins*,ATL,23.3
Kareem Abdul-Jabbar*,LAL,22.7
Charles Barkley*,PHI,22.4
Alex English*,DEN,21.7
Kevin McHale*,BOS,21.6
Isiah Thomas*,DET,21.2
Moses Malone*,PHI,20.6
Larry Nance,PHO,20.5
James Worthy*,LAL,20.4
Sidney Moncrief*,MIL,20.0
Jeff Ruland,WSB,20.0
Sleepy Floyd,GSW,20.0
Clyde Drexler*,POR,19.8
Kiki Vandeweghe,POR,19.7
Orlando Woolridge,CHI,19.6
Darryl Dawkins,NJN,19.5
