Player,Tm,PER
Magic Johnson*,LAL,25.7
Kareem Abdul-Jabbar*,LAL,25.5
Robert Parish*,BOS,25.2
Julius Erving*,PHI,25.1
Moses Malone*,HOU,25.1
Adrian Dantley*,UTA,24.3
George Gervin*,SAS,22.9
Marques Johnson,MIL,22.0
Dan Issel*,DEN,21.7
Artis Gilmore*,CHI,21.7
Dan Roundfield,ATL,20.7
Otis Birdsong,KCK,20.3
Alvan Adams,PHO,20.3
Freeman Williams,SDC,20.2
Bobby Jones*,PHI,20.1
Larry Bird*,BOS,19.9
Billy Knight,IND,19.9
Bernard King*,GSW,19.9
Bob Lanier*,MIL,19.7
Alex English*,DEN,19.7
