Player,Tm,PER
Moses Malone*,HOU,26.8
Julius Erving*,PHI,25.9
George Gervin*,SAS,24.2
Adrian Dantley*,UTA,24.2
Kareem Abdul-Jabbar*,LAL,23.4
Dan Issel*,DEN,23.1
Magic Johnson*,LAL,22.9
Larry Bird*,BOS,22.6
Robert Parish*,BOS,22.6
Artis Gilmore*,CHI,22.4
Alex English*,DEN,22.2
Gus Williams,SEA,21.8
Ron Brewer,SAS,21.5
Jack Sikma*,SEA,20.6
Sidney Moncrief*,MIL,20.1
Bernard King*,GSW,19.8
Dan Roundfield,ATL,19.5
Bobby Jones*,PHI,19.3
Mychal Thompson,POR,19.2
Calvin Natt,POR,19.0
