Player,Tm,PER
Michael Jordan*,CHI,31.2
Karl Malone*,UTA,27.2
Charles Barkley*,PHI,27.1
Magic Johnson*,LAL,26.6
David Robinson*,SAS,26.3
Patrick Ewing*,NYK,25.8
Dominique Wilkins*,ATL,24.6
Hakeem Olajuwon*,HOU,24.1
John Stockton*,UTA,23.9
Derrick Gervin,NJN,22.9
Kevin Johnson,PHO,22.8
Chris Mullin*,GSW,22.7
Clyde Drexler*,POR,22.2
Ricky Pierce,MIL,21.9
Larry Bird*,BOS,21.9
Kevin McHale*,BOS,21.8
Mark Price,CLE,21.1
Tom Chambers,PHO,20.9
Reggie Miller*,IND,20.8
Ron Harper,TOT,20.2
