Player,Tm,3P
Darrell Griffith,UTA,91
Michael Cooper,LAL,38
Mike Evans,DEN,32
Ricky Sobers,WSB,29
Johnny Moore,SAS,28
Ray Williams,NYK,25
Jeff Malone,WSB,24
Kyle Macy,PHO,23
Rod Foster,PHO,22
Purvis Short,GSW,22
Isiah Thomas*,DET,22
World B. Free,CLE,22
Eddie Johnson,KCK,20
Walter Davis,PHO,20
Gerald Henderson,BOS,20
John Lucas,SAS,19
Larry Bird*,BOS,18
Don Buse,KCK,18
Jim Paxson,POR,17
Eddie Johnson,ATL,16
