Player,Tm,3P
Larry Bird*,BOS,82
Craig Hodges,MIL,73
World B. Free,CLE,71
Michael Cooper,LAL,63
Dale Ellis,DAL,63
Kyle Macy,CHI,58
John Lucas,HOU,45
Norm Nixon,LAC,42
Trent Tucker,NYK,41
Mike McGee,LAL,41
Leon Wood,TOT,41
Sleepy Floyd,GSW,39
Mike Evans,DEN,39
Sidney Moncrief*,MIL,33
Brad Davis,DAL,32
Gus Williams,WSB,30
Eddie Johnson,TOT,29
Leon Wood,WSB,28
Steve Colter,POR,27
Kevin McKenna,WSB,27
