Player,Tm,3P
Michael Adams,DEN,158
Mark Price,CLE,152
Reggie Miller*,IND,150
Danny Ainge,SAC,108
Magic Johnson*,LAL,106
Craig Ehlo,CLE,104
Dale Ellis,SEA,96
Trent Tucker,NYK,95
Dana Barros,SEA,95
Chuck Person,IND,94
Byron Scott,LAL,93
Michael Jordan*,CHI,92
Terry Porter,POR,89
Sleepy Floyd,HOU,89
Derek Harper,DAL,89
Chris Mullin*,GSW,87
Craig Hodges,CHI,87
Hersey Hawkins,PHI,84
Darrell Griffith,UTA,80
Steve Kerr,CLE,73
