Player,Tm,3P
Danny Ainge,BOS,148
Michael Adams,DEN,139
Dale Ellis,SEA,107
Larry Bird*,BOS,98
Craig Hodges,TOT,86
Mark Price,CLE,72
Gerald Henderson,TOT,69
Trent Tucker,NYK,69
Gerald Henderson,PHI,67
Byron Scott,LAL,62
Reggie Miller*,IND,61
Derek Harper,DAL,60
Chuck Person,IND,59
Michael Cooper,LAL,57
Craig Hodges,MIL,55
Mike McGee,TOT,53
Leon Wood,TOT,52
Mark Aguirre,DAL,52
John Lucas,MIL,51
Mike McGee,SAC,48
