Player,Tm,3P
Michael Adams,DEN,166
Dale Ellis,SEA,162
Harold Pressley,SAC,119
Trent Tucker,NYK,118
Danny Ainge,TOT,116
Sleepy Floyd,HOU,109
Derek Harper,DAL,99
Reggie Miller*,IND,98
Johnny Newman,NYK,97
Mark Price,CLE,93
Mike McGee,NJN,93
Jack Sikma*,MIL,82
Mark Jackson,NYK,81
Michael Cooper,LAL,80
Terry Porter,POR,79
Byron Scott,LAL,77
Craig Hodges,TOT,75
Hersey Hawkins,PHI,71
Craig Hodges,CHI,71
Eddie Johnson,PHO,71
