Player,Tm,3P
Mike Dunleavy,SAS,67
Allen Leavell,HOU,42
Darrell Griffith,UTA,38
Isiah Thomas*,DET,36
Kyle Macy,PHO,23
Ricky Sobers,WSB,23
Brian Winters,MIL,22
Andrew Toney,PHI,22
Larry Bird*,BOS,22
Reggie Theus,CHI,21
Eddie Johnson,KCK,20
Craig Hodges,SDC,20
Butch Carter,IND,17
Mark Aguirre,DAL,16
Al Wood,SDC,15
Kiki Vandeweghe,DEN,15
World B. Free,TOT,15
World B. Free,CLE,15
Kevin Grevey,WSB,15
Ray Williams,KCK,15
