Player,Tm,AST
Magic Johnson*,LAL,977
Sleepy Floyd,GSW,848
Doc Rivers,ATL,823
Isiah Thomas*,DET,813
Terry Porter,POR,715
Reggie Theus,SAC,692
John Stockton*,UTA,670
Fat Lever,DEN,654
Jay Humphries,PHO,632
Derek Harper,DAL,609
Dennis Johnson*,BOS,594
Nate McMillan,SEA,583
Larry Bird*,BOS,566
Clyde Drexler*,POR,566
Rickey Green,UTA,541
Maurice Cheeks*,PHI,538
Vern Fleming,IND,473
Gerald Henderson,TOT,471
John Paxson,CHI,467
Darnell Valentine,LAC,447
