Player,Tm,AST
John Stockton*,UTA,1118
Kevin Johnson,PHO,991
Magic Johnson*,LAL,988
Terry Porter,POR,770
Sleepy Floyd,HOU,709
Nate McMillan,SEA,696
Isiah Thomas*,DET,663
Michael Jordan*,CHI,650
Mark Price,CLE,631
Kenny Smith,SAC,621
Muggsy Bogues,CHH,620
Mark Jackson,NYK,619
Lester Conner,NJN,604
Derek Harper,DAL,570
Fat Lever,DEN,559
Maurice Cheeks*,PHI,554
Doc Rivers,ATL,525
Gary Grant,LAC,506
Winston Garland,GSW,505
Darrell Walker,WSB,496
