Player,Tm,AST
John Stockton*,UTA,1134
Magic Johnson*,LAL,907
Muggsy Bogues,CHH,867
Kevin Johnson,PHO,846
Isiah Thomas*,DET,765
Terry Porter,POR,726
Tim Hardaway*,GSW,689
Mark Price,CLE,666
Darrell Walker,WSB,652
Sherman Douglas,MIA,619
Vern Fleming,IND,610
Derek Harper,DAL,609
Mark Jackson,NYK,604
Johnny Dawkins,PHI,601
Sleepy Floyd,HOU,600
Nate McMillan,SEA,598
Larry Bird*,BOS,562
Pooh Richardson,MIN,554
Michael Jordan*,CHI,519
Fat Lever,DEN,517
